Component Code,Unit Code,Tectonic Province,Unit Code,Physiographic Province,Unit Code,Geoform Origin,Geoform,Level 1,Level 2,Geoform Type,Level 1,Level 2,CMECS 2012 Definition
G,,,,,g1.18,Geologic,Drumlin Field,X,,,,,"Groups or clusters of closely spaced drumlins or drumlinoid ridges, distributed more or less en echelon, and commonly separated by small, marshy tracts or depressions (interdrumlins)."
G,,,,,g1.19,Geologic,Dune Field,X,,,,,"An assemblage of moving and/or stabilized dunes; sand plains; interdune areas; and the ponds, lakes, or swamps produced by the blocking of waterways by migrating dunes (U.S. Department of Agriculture 2008)."
G,,,,,g1.20,Geologic,Dune,,X,,,,An active accumulation of sand (formed by wind action) with some elevation; dunes occur on a beach or further inland.
G,,,,,g1.21,Geologic,Fan,X,X,,,,"A low, outspread gently to steeply sloping mass of loose material, which is shaped like an open fan or a segment of a cone. Fans are made of material deposited by a flow of water at the place where it issues from a narrower or steeper gradient area into a broader area, valley, flat, or other feature."
G,,,,,g1.21.1,Geologic,Fan,,,Alluvial Fan,X,,"A low, outspread, relatively flat (or gently sloping) mass of loose rock material, shaped like an open fan or a segment of a cone. The rock material was deposited by flowing water where it issues from a narrow valley or where the gradient abruptly changes. Alluvial fans are usually steeper than the surrounding surface."
G,,,,,g1.21.2,Geologic,Fan,,,Basin Floor Fan,X,,Deposition of submarine fans on the lower slope or basin floor; fan formation is associated with the erosion of canyons into the slope and the incision of fluvial valleys into the shelf. Siliciclastic sediment bypasses the shelf and slope through the valleys and canyons to feed the basin floor fan; sediment may be deposited at the mouth of a canyon or in an area widely separated from the canyon mouth—or a canyon may not be evident.
G,,,,,g1.21.3,Geologic,Fan,,,Shoreline Fan,X,,A prograding shoreline formed where an alluvial fan is built out into a lake or sea.
G,,,,,g1.21.4,Geologic,Fan,,,Washover Fan,X,X,"A fan-like landform of sand that washed over a barrier island or spit during a storm, and then deposited sand on the landward side. Washover fans can be small and completely subaerial—or they can be quite large and include subaqueous margins that extend into adjacent lagoons or estuaries. Large fans can composed of ephemeral washover channels (micro feature) cut through dunes or beach ridges, back barrier flats, (subaqueous) washover fan flats, and (subaqueous) washover fan slopes. Subaerial or intertidal portions can range from barren to completely vegetated (U.S. Department of Agriculture 2008)."
G,,,,,g1.22,Geologic,Flat,X,X,,,,A general term for a level (or nearly level) surface or area of land marked by little or no relief; flats are often composed of unconsolidated sediments (such as mud or sand). These forms are more commonly encountered in the intertidal or in the shallow subtidal zones (see Figure 6.2).
G,,,,,g1.22.1,Geologic,Flat,,,Back Barrier Flat,X,,"A subaerial, gently sloping landform on the lagoon side of the barrier beach ridge. These flats are composed predominantly of sand washed over (or through) the beach ridge during tidal surges (modified from Jackson 1997)."
G,,,,,g1.22.2,Geologic,Flat,,,Barrier Flat,X,,"A relatively flat, low-lying area that is separating the exposed (or seaward) edge of a barrier beach or barrier island from the lagoon behind it. Barrier flats commonly include pools of water, and may be barren or vegetated. These flats are an assemblage of both deflation flats left behind migrating dunes and/or storm washover sediments."
G,,,,,g1.22.3,Geologic,Flat,,,Ebb Tidal Delta Flat,,X,"The relatively flat, dominant component of the ebb tidal delta. At extreme low tide, this landform may be exposed for a relatively short period (U.S. Department of Agriculture 2008)."
G,,,,,g1.22.4,Geologic,Flat,,,Flood Tidal Delta Flat,,X,"The relatively flat, dominant component of the flood tidal delta. At extreme low tide, this landform may be exposed for a relatively short period (U.S. Department of Agriculture 2008)."
G,,,,,g1.22.5,Geologic,Flat,,,Tidal Flat,X,X,"An extensive, nearly horizontal, barren (or sparsely vegetated) tract of land that is alternately covered and uncovered by the tide. Tidal flats consist of unconsolidated sediment (mostly clays, silts and/or sand, and organic materials)."
G,,,,,g1.22.6,Geologic,Flat,,,Washover Fan Flat,X,,"A gently sloping, fan-like, subaqueous landform created by overwash from storm surges that transports sediment from the seaward side to the landward side of a barrier island (Jackson 1997). Sediment is carried through temporary overwash channels that cut through the dune complex on the barrier spit (Fisher and Simpson 1979; Boothroyd et al. 1985; Davis 1994) and spill out onto the lagoon-side platform, where they coalesce to form a broad belt. Also called Storm-Surge Platform Flat (Boothroyd et al. 1985) and Washover Fan Apron (Jackson 1997)."
G,,,,,g1.22.7,Geologic,Flat,,,Wind Tidal Flat,X,,"A broad, low-lying, nearly level sand flat that is alternately flooded by ponded rainwater or inundated by wind-driven marine and estuarine waters. Salinity fluctuations and prolonged periods of exposure preclude establishment of most types of vegetation (except for mats of filamentous blue-green algae)."
G,,,,,g1.23,Geologic,Fluvio-Marine Deposit,X,X,,,,"Stratified materials (clay, silt, sand, or gravel) formed by both marine and fluvial processes, resulting from non-tidal sea-level fluctuations, subsidence, and/or stream migration (e.g., materials originally deposited in a nearshore environment and subsequently reworked by fluvial processes as the sea level fell)."
G,,,,,g1.24,Geologic,Fracture,X,X,,,,A crack or split formed in a rock or bedrock as a result of local erosion or rock stress; they are not due to tectonic actions (which form larger faults and fracture zones).
G,,,,,g1.25,Geologic,Hole/Pit,,X,,,,A generally more steep- sided indentation or depression that is lower than the surrounding surface formed through a variety of processes.
G,,,,,g1.25.1,Geologic,Hole/Pit,,,Scour Hole,,X,"A hole formed by the powerful and concentrated clearing and digging action of flowing air, water, or ice—especially the downward erosion by stream water (in sweeping away mud and silt on the outside curve of a bend) or during the time of a flood."
G,,,,,g1.25.2,Geologic,Hole/Pit,,,Solution Hole/Pit,,X,An indentation formed on a rock surface by a solution.
G,,,,,g1.26,Geologic,Hydrothermal Vent Field,X,X,,,,"An area where several hydrothermal vents, either active or inactive, are present."
G,,,,,g1.27,Geologic,Hydrothermal Vent,,X,,,,"Structures on the seafloor through which materials related to volcanic activity are extruded. These often form tall, chimney-like structures and can support diverse chemosynthetic biota and associated communities."
G,,,,,g1.28,Geologic,Inlet,X,X,,,,"Inlets are narrow constrictions through which water flows. The term is commonly used to describe gaps between barrier islands that allow tidal exchange with the adjacent—more enclosed—bays, lagoons, or marshes."
G,,,,,g1.28.1,Geologic,Inlet,,,Tidal Inlet,X,,"Any inlet through which water alternately floods landward, with the rising tide, and ebbs seaward, with the falling tide (Jackson 1997)."
G,,,,,g1.28.2,Geologic,Inlet,,,Relict Tidal Inlet,X,,A channel remnant that is left from a former tidal inlet. The channel was cut off or abandoned by infilling from migrating shore sediments.
G,,,,,g1.29,Geologic,Island,X,X,,,,"An area of land completely surrounded by water—or an elevated area of land surrounded by swamp or marsh, which is isolated at high water or during floods."
G,,,,,g1.29.1,Geologic,Island,,,Barrier Island,X,X,"A long, narrow, sandy island that is above high tide and parallel to the shore. Barrier islands commonly have dunes, vegetated zones, and swampy or marshy terrains extending lagoon-ward from the beach."
G,,,,,g1.30,Geologic,Karren,,X,,,,"Repeating, surficial solution channels, grooves, or other forms that are etched onto massive, bare limestone surfaces; types range in depth from a few millimeters up to one meter, and they are separated by ridges May also refer to the total complex (all varieties) of surficial solution forms found on compact, pure limestone (U.S. Department of Agriculture 2008)."
G,,,,,g1.31,Geologic,Knob,,X,,,,"A rounded protuberance, usually prominent or isolated with steep sides; also including peaks or other projections from seamounts, or a groups of boulders, or other protruding areas of resistant rocks"
G,,,,,g1.32,Geologic,Lagoon,X,X,,,,"Lagoons tend to be shallow, highly enclosed, with reduced exchange with the ocean, often experiencing high evaporation, and quiescent in terms of wind, current, and wave energy. They tend to have a very high surface to volume ratio, low to moderate watershed to water area ratio and can have a high wetland to water ratio. The flushing times tend to be long relative to riverine estuaries and even embayments, as the restricted exchange with the marine end member and reduced river input lengthen residence times."
G,,,,,g1.33,Geologic,Lava Field/Plain,X,,,,,"A relatively well-defined area that is covered by lava flows. These can be found either along the coast or in deeper water. Terrain in lava fields can be rough and broken or it can be relatively smooth; the terrain can also include vent structures (e.g., small cinder cones or spatter cones), surface flow structures (e.g., pressure ridges or tumuli), and small, intermittent areas covered with pyroclastics."
G,,,,,g1.34,Geologic,Ledge,X,X,,,,Bedding planes that are exposed (either on the surface or at depth) often form ledges that have a high habitat value and support colonizing plants and animals. Ledges often provide a more level surface than the bounding slopes. Ledges in the intertidal zone can form shelves or projections of rock (that are much longer than they are wide) on a rock wall or cliff face. They are formed along a coast by differential wave action on softer rocks and may be eroded by biological and chemical weathering.
G,,,,,g1.35,Geologic,Marine Lake,X,,,,,"An inland body of permanently standing brackish or saline water whose water level is commonly influenced by ocean tides through subterranean cavities connecting to nearby lagoons. The lake is generally of appreciable size (larger than a pond) and too deep to permit emergent vegetation to take root completely across the expanse of water. Such water bodies can have unique biota (e.g., the stingless jellyfish of Palau)."
G,,,,,g1.36,Geologic,Marsh Platform,X,X,,,,"The flat, often thick, accumulation of peat that supports emergent marsh vegetation. It is commonly dissected by tidal creeks, and it is occasionally buried and re-exposed through the action of beach erosion and new inlet development."
G,,,,,g1.37,Geologic,Megaripples,X,,,,,"Large, sand waves or ripple-like features having wavelengths greater than 1 meter or a ripple height greater than 10 centimeters; Megaripples are formed in a subaqueous environment, and they are also known as subaqueous dunes. They may be superimposed with smaller bedforms (Bates and Jackson 1984)."
G,,,,,g1.38,Geologic,Moraine,X,,,,,"A mound, ridge, or other distinct accumulation of unsorted, unstratified, glacial drift (predominantly till) that is deposited chiefly by direct action of glacier ice."
G,,,,,g1.38.1,Geologic,Moraine,,,Disintegration Moraine,X,,"A drift topography characterized by chaotic mounds and pits (generally randomly oriented) developed in supraglacial drift by collapse and flow as the underlying stagnant ice melted. Slopes may be steep and unstable, and there will be used and unused stream courses and lake depressions interspersed with the morainic ridges. Characteristically, there are numerous abrupt changes (lateral and vertical) between unconsolidated materials of differing lithology."
