Component_Abbrev,Level_Name,d_Level_id,Unit_Name,Unit_ID,Definition
BC,Biotic Group,6,Attached Crinoids,511,"Assemblages on hard or mixed substrates that are dominated by either attached, stalked crinoids (or ""sea lilies"") or motile (but often stationary, see Barnes 1980), comatulid (or ""feather stars""). These animals are common in the deep sea and in other areas. Crinoids are a Class of echinoderm characterized (in general) by a stalk that supports the body, mouth, and arms of the animal. The branching arms are equipped with ciliated grooves that carry food items to the central, upward-facing mouth."
BC,Biotic Subclass,5,Attached Fauna,425,"Areas characterized by rock substrates, gravel substrates, other hard substrates, or mixed substrates that are dominated by fauna which maintain contact with the substrate surface, including firmly attached, crawling, resting, interstitial, or clinging fauna. Fauna may be found on, between, or under rocks or other hard substrates or substrate mixes. These fauna use pedal discs, cement, byssal threads, feet, claws, appendages, spines, suction, negative density, or other means to stay in contact with the (generally) hard substrate, and may or may not be capable of slow movement over the substrate. However, these fauna are not able to achieve speeds sufficient to move beyond the unit boundary within one day. Many attached fauna are suspension feeders and feed from the water column. Other attached fauna are benthic feeders, including herbivores, predators, detritivores, and omnivores. Within Attached Fauna, the Biotic Group is identified as the biota making up the greatest percent cover on the hard attachment surface within the classified area. Biota present at lesser percent cover values within the classified area may be identified as Co-occurring Elements (See Section 10.6.2) or (if not a CMECS Biotic Group) Associated Taxa (See Section 10.3.1)."
BC,Biotic Group,6,Attached Holothurians,1216,"Areas where the epifaunal community is dominated by sessile or slow-moving holothurians (sea cucumbers) on hard or mixed substrates. Holothurians living on hard substrate may attach firmly, or may be capable of movement over the substrate. Many forms are adapted to feeding by moving their sticky tentacles over the substrate; other forms are suspension-feeders."
BC,Biotic Group,6,Attached Hydroids,513,"Areas dominated by mounds or mats of hydroids that are attached to a hard substrate. Hydroids are colonies of individual cylindrical polyps arranged in a branching structure, as a furry or brushy covering, or in other forms. Polyps are specialized for support, reproduction, and defense, and are armed with nematocysts (stinging capsules in specialized cells). Hydroids are the benthic life stage of planktonic jellyfish medusae, and most are predators on small life forms. Hydroid mounds or mats may form very dense assemblages."
BC,Biotic Group,6,Attached Mussels,515,"Areas dominated by dense accumulations of mussels attached to a substrate other than conspecifics. This group includes associated faunal communities and predators on mussels (e.g., starfish), which may be highly conspicuous. Areas where mussels have constructed substrate are classified as Mussel Reef. Areas where mussels are not attached to a hard substrate are classified as Soft Sediment Fauna, Mussel Bed."
BC,Biotic Group,6,Attached Oysters,516,Areas dominated by fauna that consists of accumulations of oysters attached to a substrate other than conspecifics. Areas where oysters have constructed substrate are classified as Oyster Reef (see above). Areas where oysters are not attached to the substrate are classified as Soft Sediment Oyster Bed.
BC,Biotic Group,6,Attached Sea Urchins,1219,"Hard or mixed substrate areas dominated by mobile sea urchins. Many sea urchins are omnivorous, consuming algae, debris, sessile invertebrates, and other foods. In some situations, sea urchins will occur in great numbers, clearly constituting the dominant Biotic Group. These fauna may be associated with another Biotic Group (upon which they are feeding) and may be considered as Co-occurring Elements if the ""forage"" group occurs in greater percent cover, or dominates biomass."
BC,Biotic Group,6,Attached Sponges,517,"Hard or mixed substrate areas that are dominated by sponges and their associated communities, e.g., where non-reef building sponge species grow attached to hard substrate or are nestled among hard substrate, or where reef-building sponges grow on hard substrates in densities that are not judged sufficient to constitute a reef. Most sponge species do not have fused silica spicules, and so do not create lasting skeletons that build reefs. Nonetheless, these more fibrous and ephemeral sponges provide seafloor relief and excellent habitat for other fauna, including many commensal species that live within the tissues of the sponge."
BC,Biotic Group,6,Attached Starfish,1218,"Hard or mixed substrate areas in which starfish (sea stars) occur in large aggregations and clearly dominate the biota. Practitioners should note that, in most cases, starfish are predators on another Biotic Group (e.g., Attached Mussels) which (as the forage base) would normally constitute the dominant percent cover. In those cases, Starfish would be described as a Co-occurring Element, e.g., ""Biotic Group: Attached <i>Mytilus edulis</i> with Co-occurring Element: Attached <i>Asterias rubens""</i>. The Attached Starfish biotic group is intended to describe areas where starfish constitute the dominant life form in percent cover, not areas with occasional or scattered starfish."
BC,Biotic Group,6,Attached Tube-Building Fauna,1280,"Hard substrate areas with a percent cover dominated by tube builders, including annelids, phoronids, sipunculids, crustaceans, gastropods, pogonophorans, echiurans, priapulids, and other phyla. These animals construct chitinous, leathery, calcareous, sandy, mucus, or other types of tubes that are cemented or otherwise attached to hard substrate, and can occur in very high densities. If the tubes are built from a more permanent material (e.g., calcium carbonate) and occur in densities sufficient to construct substrate, these areas may be classified as Reef Biota."
BC,Biotic Group,6,Attached Tunicates,518,"Areas dominated by attached members of the subphylum Tunicata, known as tunicates, ascidians, or sea squirts. Tunicates are bag-like filter feeders with an incurrent and an excurrent siphon. In some areas they reach high abundances. One species (<i>Didemnum</i>, see Figure 8.10) is a rapid invasive that blankets large areas, excludes other fauna, and has invaded many countries around the world, including the United States, on both the East and West coasts."
BC,Biotic Group,6,Bacterial Decay,550,"Areas dominated by colonies of bacterial decomposers and other decay organisms that are observed covering and rotting larger organic matter (such as macroalgal debris, fish kills, or similar large organic inputs). See Figure 8.13 for an example of bacterial decay."
BC,Biotic Group,6,Bacterial Mat/Film,549,Areas dominated by colonies of bacterial decomposers and other decay organisms. These colonies can range in appearance from delicate and filamentous to a dense mass that may blanket the sediment surface. See Figure 8.12 for an example of a bacterial mat.
BC,Biotic Group,6,Barnacles,508,"Areas dominated by barnacles (small filter-feeding crustaceans in a protective shell that is attached to hard substrate) and associated fauna (e.g., the snail, <i>Littorina</i>; see Figure 8.9)."
BC,Biotic Subclass,5,Benthic Macroalgae,433,"Aquatic beds dominated by macroalgae attached to the substrate, such as kelp (Figure 8.14), intertidal fucoids, and calcareous algae. Macroalgal communities can exist at all depths within the photic zone, on diverse substrates, and across a range of energy and water chemistry regimes. In the CMECS framework, macroalgae that dominate the benthic environment and form a vegetated cover fall within this subclass. Macroalgal communities (typically coralline/crustose algae) that build substrate in a reef setting are categorized in the BC Reef Biota Class instead.<br/><br/>Many macroalgal types and communities have low temporal persistence and can bloom and die-back within short periods. This aspect of macroalgae is reflected with the temporal persistence modifier, which allows further description of the units in this subclass.<br/><br/>While many researchers organize macroalgae based on their pigmentation, CMECS takes a growth morphology approach to defining benthic algal biotic groups. This decision was driven by the fact that macroalgal assemblages often include a variety of co-existing algal species, making delineations of individual species difficult. This approach also captures the influence that the algal growth structure has in shaping the local environment—by providing shelter, shade, and detrital material to an area, which is important to associated fauna.<br/><br/>The Biotic Group level of classification here is a modification of the ""Littler functional-form model"" for marine macroalgae, as described by Littler, Littler, and Taylor (1983) and promoted by Lobban and Harrison (1997). The Littler functional form groups are the sheet group, filamentous group, coarsely branched group, thick leathery group, jointed calcareous group, and crustose group. Littler, Littler, and Taylor (1983) discuss the morphological, metabolic, and ecological significance of each group, and they point out that these groups are best considered as recognizable points along a continuum (rather than as discrete bins). Biotic Groups and Communities defined by macroalgae generally also include a diversity of associated fauna, including many that consume macroalgae (e.g., sea urchins and mollusks); these may be characterized as Modifiers: Associated Taxa, or Co-occurring Elements."
BC,Biotic Setting,91,Benthic/Attached Biota,389,"This biotic setting describes areas where biota lives on, in, or in close association with the seafloor or other substrates (e.g., pilings, buoys), extending down into the sediment to include the sub-surface layers of substrate that contain multi-cellular life. As a rule, Benthic/Attached Biota units are characterized by the various life histories and taxonomic characteristics of the dominant life forms."
BC,Biotic Group,6,Brachiopod Bed,1220,"Soft-sediment areas dominated by burrowing, clam-like brachiopods, a phylum of animals with two shells, a stalk-like peduncle, and a tentacular, ciliated feeding organ. In soft sediment dwelling species, the peduncle and the valves are adapted to burrowing. In other brachiopod species, the animal is adapted to attach to hard substrate (see Attached Brachiopods, above). Most brachiopods feed on plankton or on detritus. Brachiopods may occur in very high densities in some soft sediment areas, including intertidal areas (particularly on the west coast of the United States)."
BC,Biotic Group,6,Brackish Marsh,568,"Marshes dominated by species with a wide range of salinity tolerance. Depending on the salinity levels (0.5-30), more or less salt-intolerant species may be present. The list of biotic communities for this group is long: a few examples are provided below, and the complete list is available in Appendix F."
BC,Biotic Group,6,Brackish Tidal Forest/Woodland,578,Tidal areas dominated by tree species that are greater than 6 meters tall and have a range of salt tolerance. Salinities may range from 0.5-30.
BC,Biotic Group,6,Brackish Tidal Scrub-Shrub,574,Tidal areas dominated by shrub or immature tree species that are less than 6 meters tall and have a range of salt tolerance. Salinity may range from 0.5-30 (PSS).
BC,Biotic Group,6,Branching Coral Reef,492,"Reefs in shallow or mesophotic situations dominated by branching corals (includes arborescent, arboreal, digitate, corymbose, ramose, and elkhorn corals) that grow in a tree-like shape and have numerous branches, some with secondary branches. This group includes both fragile, branching corals and more robust, branching corals that have exceptionally thick and sturdy antler-like branches (such as elkhorn corals). See Figure 8.2 for an example of the branching coral growth form."
BC,Biotic Group,6,Brittle Stars on Hard or Mixed Substrates,1212,"Assemblages dominated by crawling, epifaunal, crevice-dwelling brittle stars, often living on, between, or under rocks. Brittle stars (together with basket stars) are Ophiuroids, a relatively mobile class of echinoderms. Some brittle star species are specialized for life on or among rocks and other hard substrates, others are specialized for infaunal burrowing, and some species may be generalists, found in a variety of substrates, and utilizing a variety of feeding methods."
BC,Biotic Group,6,Burrowing Anemones,520,"Areas dominated by anemones (solitary coelenterates) that use their pedal disc to burrow in soft substrates. Many species are characterized by a whorl of tentacles at the sediment surface; when disturbed, the animal may very rapidly retract its tentacles into a burrow. These anemones occur at a range of densities, which requires sampling gear with an appropriate resolution and observational footprint (e.g., video transects or plan-view still photographs)."
BC,Biotic Group,6,Burrowing Urchins,542,"Assemblages dominated by burrowing, ""irregular"" echinoids (e.g., burrowing urchins, heart urchins). These flattened urchins typically live underneath the sediment surface and feed on mud or on particles of detritus."
BC,Biotic Group,6,Calcareous Algal Bed,558,"Areas dominated by calcareous algae that incorporate calcium carbonate into their tissues, support their own weight, and have an upright growth form. Calcareous algae can form carpets on the bottom, and—as they decay—the calcareous skeletons remain behind, occasionally forming loose accumulations on the bottom resembling chips. Calcareous algae that occur in a reef setting are included in the Colonized Shallow and Mesophotic Reef biotic group."
BC,Biotic Group,6,Canopy-Forming Algal Bed,559,"Areas dominated by canopy-forming algae that have complex growth forms with holdfasts and well-defined stipes and blades. Canopy forming algae are distinguished from other types of macroalgae, in that they often reach heights of several meters or greater. Their presence alters water energy patterns and provides shelter for other marine organisms. Kelp beds are an example of canopy forming algal communities (Figure 8.14)."
BC,Biotic Group,6,Cephalochordates,1284,"Soft-sediment areas (typically sandy) that are dominated by the rapidly burrowing, fish-like <i>Amphioxus</i>, or by other similar Genera of the subphylum Cephalochordata, a group of animals with characteristics of both vertebrates and invertebrates. These small (typically 2 - 15 centimeters in length) slender animals live buried just under the surface of sandy sediments. They feed on plankton or detritus that is strained from the water with a specialized feeding apparatus. <i>Amphioxus</i> and the related Genera have a worldwide distribution, and may occur in very high densities in some areas."
BC,Biotic Group,6,Chaetognath Aggregation,457,"Water parcels in which chaetognaths aggregate and are the dominant form of zooplankton. Chaetognaths are small, fish-shaped worms with large ""teeth,"" and they are ferocious predators. They are commonly known as Arrow Worms."
BC,Biotic Group,6,Chitons,1281,"Areas dominated by attached chitons, gastropod-like mollusks with eight calcareous dorsal plates (valves), a broad foot for attachment to hard substrates, and a scraping radula for feeding. Several species can reach high abundances on intertidal or subtidal rocks. Some chitons will create a depression in rock substrate for improved protection; however, they are classified here as Chitons, rather than above as Mineral Boring Fauna."
BC,Biotic Group,6,Chlorophyte Aggregation,475,Waters dominated by Chlorophytes. This group is known to aggregate at frontal zones and under ice pack.
BC,Biotic Group,6,Chlorophyte Bloom,476,"Surface waters where rapid growth and very high densities of chlorophytes occur, particularly under quiescent conditions when nutrients are in excess."
BC,Biotic Group,6,Chlorophyte Maximum Layer,585,Relatively thin layer dominated by chlorophytes at depth in the water column where nutrients are optimal. Chlorophytes are adapted to low light levels.
BC,Biotic Subclass,5,Chlorophyte Phytoplankton,474,"Areas dominated by Chlorophytes (green algae that are unicellular, flagellated, and sometimes colonial phytoplankton), occurring more predominantly in the tropics."
BC,Biotic Group,6,Chrysophyte Aggregation,468,"Waters dominated by chrysophytes; these cells can aggregate via mucus excretions that bind single cells into colonies, often combined with mineral particles and bacterial communities. Chrysophytes occur in coastal waters where nutrients and light are sufficient."
BC,Biotic Group,6,Chrysophyte Bloom,469,Surface waters where rapid growth and very high densities of chrysophytes occur. These organisms form brown tide blooms that are common in coastal waters and estuaries and often damage seagrass beds (by shading).They also may exhibit toxicity to grazers and filter feeders.
BC,Biotic Group,6,Chrysophyte Maximum Layer,470,Relatively thin layer dominated by chrysophytes at depth in the water column; some chrysophytes are flagellated and can adjust their position in the water column. These and other plankton form maxima at depths where nutrients are in optimal concentrations.
BC,Biotic Subclass,5,Chrysophyte Phytoplankton,411,"Waters dominated by Chrysophyte Phytoplankton, single-celled algae found mostly in freshwater (although several orders occur in brackish and salt water). The pigment fucoxanthin gives them a yellow or brown color, and there are a variety of forms of the so-called ""golden algae,"" including plasmoid, amoeba-like, flagellated, naked, and silicious."
BC,Biotic Group,6,Clam Bed,524,"Areas where either: (a) living clams, siphons, or siphon holes are the dominant surface feature, or; (b) clams dominate the faunal biomass. Siphons or shells may (or may not) be visible from above the sediment surface. The Clam Bed biotic group includes clams of all sizes; clam size can be specified using the Invertebrate Community Organism Size Modifiers: Meiofauna (dominants < 0.5 millimeter), Small Macrofauna (dominants > 0.5 millimeter to 2 millimeters), Large Macrofauna (dominants > 2 millimeters to 1 centimeter), Megafauna (dominants > 1 centimeter to 3 centimeters), Large Megafauna (dominants > 3 centimeters), with all measurements in the smallest dimension (e.g., the smallest shell width for most clams)."
BC,Biotic Group,6,Coccolithophore Aggregation,471,"Waters dominated by coccolithophores. This group is distributed throughout the oceans and tends to have high light requirements, often aggregating in the upper water column and surface layer."
BC,Biotic Group,6,Coccolithophore Bloom,472,Surface waters where rapid growth and very high densities of coccolithophores occur. These organisms form enormous blooms in the coastal and offshore oceans. Blooms may be linked to upwelling events.
BC,Biotic Group,6,Coccolithophore Maximum Layer,473,"Relatively thin layer dominated by coccolithophores at depth in the water column where nutrients are optimal. Coccolithophores are not generally found at depth; however, when surface nutrients are depleted and the water column is clear, some instances of a deeper maximum in the epipelagic layer have been noted."
BC,Biotic Subclass,5,Coccolithophore Phytoplankton,412,"Coccolithophores are small phytoplankters, predominantly marine, which produce plates of calcium carbonate as shells."
BC,Biotic Group,6,Colonized Deepwater/Coldwater Reef,491,"Areas dominated by deepwater reefs where live reef building hard corals are present, but not clearly dominant. Cover is dominated by non-reef-forming biota, including black corals, gold corals, gorgonians, sponges, and other sedentary or attached macro-invertebrates. If no living reef-forming corals are present, then the biotic class is Faunal Bed."
BC,Biotic Group,6,Colonized Shallow/Mesophotic Reef,501,"Tropical coral reef substrate where live reef building corals are present, but not clearly dominant. Cover is dominated by non-reef-forming corals (such as soft corals, gorgonians [e.g., sea fans and sea whips], and sea pansies), sponges, other sedentary or attached macro-invertebrates, occasional seagrasses, macroalgae, echinoderms, and other reef associates. Reef-building, hard corals are present, but not clearly dominant. If no living coral is present, then the biotic class if Faunal Bed."
BC,Biotic Group,6,Columnar Coral Reef,493,Areas dominated by columnar corals that emerge from a massive base in a pillar form and do not branch. They are commonly found in mild water flow at mid-depth water levels.
BC,Biotic Group,6,Copepod Aggregation,440,Water parcels in which copepods aggregate and are the dominant form of zooplankton. Planktonic copepods are thought to be among the most abundant multi-cellular animals on Earth. Most planktonic copepods use their large antennae to move in a series of jerky motions.
BC,Biotic Group,6,Coral Larval Aggregation,445,"Water parcels in which coral larvae aggregate post-spawning, with no evidence of a recent spawning event, and they are the dominant form of zooplankton."
BC,Biotic Subclass,5,Coral Meroplankton,400,Water parcels in which coral larval life-history stages are the perceived dominant feature. This generally occurs during and after synchronous spawning events in reef areas with high coral biomass.
BC,Biotic Group,6,Coral Spawning and Larval Aggregation,444,"Water parcels in which coral gametes and larvae are aggregated during and after simultaneous spawning (often in astronomical numbers). In events that involve synchronous spawning of multiple species of corals, the concept of species-specific or group-specific biotic communities (below) may not apply, and the feature is identified at the biotic group level."
BC,Biotic Group,6,Coralline/Crustose Algal Bed,560,"Areas dominated by coralline or crustose algae that incorporate calcium carbonate into their tissues and form crusts on the substrate in many marine environments. Coralline algae can be attached or unattached (as in the rhodoliths that form nodules, which can occur in loose accumulations on the substrate). In the attached algae, the thalli are fixed to the substrate. Coralline/Crustose algae that occur in a reef setting are included in the Colonized Shallow and Mesophotic Reef biotic group."
BC,Biotic Subclass,5,Crustacean Holoplankton,398,Water parcels in which crustacean holoplankton are the perceived dominant feature. Crustaceans constitute the vast bulk of zooplankton in many areas of the ocean.
BC,Biotic Subclass,5,Crustacean Meroplankton,399,"Water parcels in which crustacean meroplankton are the perceived dominant feature. These zooplankters typically go through several very different larval stages, and can be difficult to identify."
BC,Biotic Group,6,Cryptophyte Aggregation,477,Waters dominated by aggregations of cryptophytes. Cryptophytes aggregate in waters where nutrient concentrations are seasonally in low supply and nutritional needs can be met by consuming bacteria.
BC,Biotic Group,6,Cryptophyte Bloom,478,Surface waters where rapid growth and very high densities of cryptophytes occur. Blooms are generally not toxic and can form in coastal and estuarine waters.
BC,Biotic Group,6,Cryptophyte Maximum Layer,479,Relatively thin layer dominated by cryptophytes at depth in the water column. Motility allows the group to avoid predation and to optimize their heterotrophic grazing.
BC,Biotic Subclass,5,Cryptophyte Phytoplankton,413,"Waters dominated by cryptophytes, a small—but diverse—group of unicellular algae that occur in fresh and salt water. Some species are mixotrophic and are able to thrive in low-nutrient environments."
BC,Biotic Group,6,Ctenophore Aggregation,449,"Water parcels in which ctenophores aggregate so as to constitute the dominant form of zooplankton. Ctenophores are small, gelatinous, ciliated animals with a generally rounded or lobed form. Two retractable feeding tentacles may also be present."
BC,Biotic Group,6,Cyanophyte Aggregation,480,"Waters dominated by cyanophytes, which can aggregate under appropriate conditions in both coastal and open ocean environments. Those with nitrogen-fixing capability have a competitive advantage in nitrogen-poor environments, and coccoid cyanophytes are often dominant in oligotrophic tropical oceans."
BC,Biotic Group,6,Cyanophyte Bloom,481,"Surface waters where rapid growth and very high densities of cyanophytes occur. Cyanophyte Blooms are increasingly common in coastal waters, and can be toxic."
BC,Biotic Group,6,Cyanophyte Maximum Layer,482,Relatively thin layer dominated by cyanophytes at depth in the water column. Cyanophytes can be found in a maximum layer where nutrients are sufficient (often at the base of the nutricline). They are often associated with an oxygen maximum layer due to their high rates of photosynthetic production.
BC,Biotic Subclass,5,Cyanophyte Phytoplankton,414,"Areas dominated by cyanophytes, blue-green algae that are photosynthetic bacteria. Some of these are nitrogen fixing, some form resting cysts, and they can exist singly or in colonies."
BC,Biotic Group,6,Decapod Larval Aggregation,442,"Water parcels in which crab, shrimp, and lobster larvae aggregate and are the dominant form of zooplankton."
BC,Biotic Subclass,5,Deepwater/Coldwater Coral Reef Biota,420,"Areas dominated by biota closely associated with the structures and settings created by azooxanthellate (lacking symbiotic algae), deep-water, stony corals (Order Scleractinia) or stylasterid corals (Order Anthoathecatae; Family Stylasteridae). Biotic groups and communities for the Deepwater/Coldwater Coral Reef subclass recognize coral reef areas as structural settings that were constructed by the framework-forming corals. The living coral reef is characterized by the presence of live reef-forming corals, but may or may not be dominated by living corals; other fauna may in fact exceed the corals in percent cover.<br/><br/>The Deepwater/Coldwater Coral Reefs are separated into two Biotic Groups based on whether they are formed by stony corals or stylasterid corals. The growth forms of those corals and the reefs they create are structurally different. Biotic communities are characterized by the dominant species of framework-forming, deep-sea coral. For example, a Deepwater/Coldwater <i>Lophelia</i> Reef would be dominated by <i>Lophelia pertusa</i> coral, but may include other stony corals such as <i>Madrepora oculata, Enallopsammia rostrata, </i>or <i>Solenosmilia variabilis</i>."
BC,Biotic Group,6,Deepwater/Coldwater Stony Coral Reef,489,"Areas dominated by deepwater stony corals. There are 17 known species of deepwater, azooxanthellate, stony corals (Class: Anthozoa; Order: Scleractinia) that form larger, branching colonies and contribute to reef frameworks. Six of these are particularly widespread or important, and these are major contributors to the framework of their respective habitats. These species form branching colonies (generally less than 1 - 2 meters in size), and aggregations of these living colonies—and their immediately adjacent dead framework and rubble—are important habitats for numerous other sedentary and mobile species."
BC,Biotic Group,6,Deepwater/Coldwater Stylasterid Coral Reef,490,"Areas dominated by stylasterid corals. A number of stylasterid coral species (Class: Hydrozoa; Order: Anthoathecatae; Family: Stylasteridae) form smaller branching colonies that can dominate certain habitats, primarily in deeper, colder waters. Stylasterid coral reefs often predominate on oceanic islands, seamounts, and archipelagos (Cairns 1992)."
BC,Biotic Group,6,Diatom Aggregation,483,"Waters dominated by diatoms that aggregate passively during blooms or via exudation of sticky polymers that act as glue to bind cells together. (Bacteria may play an important role in the binding process.) Diatom aggregations play an important role in the marine carbon budget, and since aggregations sink more rapidly than single cells, they transport carbon to lower waters and the benthos."
BC,Biotic Group,6,Diatom Bloom,484,"Surface waters where rapid growth and very high densities of diatoms occur. Diatoms are large cells and tend to have high nutrient requirements. Spring diatom blooms occur in many estuarine and coastal waters, as diatoms have low light requirements and are well adapted to the hydrologic period when turbid riverine inputs are highest. They have higher nutrient requirements than other groups and require silica, needed to produce frustules. Land runoff contains silica making the spring period ideal for formation of coastal diatom blooms. The rise of the bloom is important in initiating food webs of zooplankton and other grazers and the decay of the bloom is important in nutrient cycling, and potentially contributes to the later formation of hypoxic bottom water as organic material accumulates in the lower water column."
BC,Biotic Group,6,Diatom Maximum Layer,485,Relatively thin layer dominated by diatoms at depth in the water column. Layers of high diatom density generally form in the surface mixed layer and have also been found at deep subsurface maxima. These are associated with nutrient or temperature maxima.
BC,Biotic Subclass,5,Diatom Phytoplankton,415,"Waters dominated by Diatom Phytoplankton, single-cell algae that circulate passively or sink in the water column. This non-flagellated group possesses silica-based frustules that can form large and elaborate static appendages. They are considered desirable, high-quality food for grazers, supporting healthy food webs."
BC,Biotic Group,6,Dinoflagellate Aggregation,486,"Waters dominated by dinoflagellates that aggregate in coastal and marine waters throughout the world. Some evidence suggests that both heterotrophic and mixotrophic feeding adaptations supplement autotrophy, giving dinoflagellates a competitive advantage over other groups—especially during periods of low nutrient availability. Aggregations are responsible for bioluminescence, which may reduce predation by disrupting grazers and by triggering secondary predators that consume dinoflagellate predators (Latz et al. 2004)"
BC,Biotic Group,6,Dinoflagellate Bloom,487,"Surface waters where rapid growth and very high densities of dinoflagellates occur. These blooms have caused a number of problems in coastal waters because many species are toxic to consumers. Shellfish and fish can accumulate toxins and pass them on to higher trophic levels, including humans."
BC,Biotic Group,6,Dinoflagellate Maximum Layer,488,Relatively thin layer dominated by dinoflagellates at depth in the water column. Dinoflagellates migrate vertically through the water column to layers where nutrients and light are optimal for growth. Often the maxima can occur at the surface when nutrients are saturating throughout the water column. There is also evidence that migration is an adaptive strategy to avoid predation (Baek et al. 2011).
BC,Biotic Subclass,5,Dinoflagellate Phytoplankton,416,"Areas dominated by flagellated phytoplankton that have some motility and can control their position in the water column to a degree, diurnally migrating from surface to bottom to maximize conditions for growth. This group has both photosynthetic and heterotrophic species, which play a large role in coastal and estuarine trophic dynamics. These phytoplankton also can form noxious and harmful blooms, including red tides that may be toxic to higher consumers and to humans. Their complex life cycle goes through many stages, which can include resting cysts that spend prolonged periods in the benthic sediments."
