(Level 1) ,(Level 2),(Level 3),(Level 4),Unit Type,Defintion,CMECS Version,Component Code,Unit Code
Modifiers,Biological Modifers,Community Successional Stage,,CMECS Modifier,"The Community Successional Stage modifier is intended for use in the Biotic Component, Faunal Bed Class, Soft-sediment Fauna Subclass. In the ecological literature, successional stage is a concept used to characterize identifiable points along a continuum of sequential—and somewhat predictable—replacements of taxa following a major disturbance which opens up a relatively large space. These stages are based in part on the differing organism life-history strategies of biota, and in part on their resulting modifications to the physical environment (Odum 1969; Ritter, Montagna, and Applebaum 2005). Rosenberg (1976) pointed out that the same basic pattern of succession is seen in soft-sediment environments in many different parts of the world, in response to various stressors (e.g., organic input, temperature stress, or low oxygen), noting that species composition (but not the basic pattern) differs among settings. Early work on infaunal marine succession recognized that this process is a complex and continually varying response to a history of disturbance, and that “there is a complete spectrum in nature” (Johnson 1972). Nonetheless, there is (along this spectrum) a predictable pattern to benthic community structure that follows levels of stress and disturbance, and this is a very useful construct in understanding the environment (Rosenberg 2001). CMECS provides four modifiers for Community Stage in soft-sediment areas; these have been described previously (Pearson and Rosenberg 1976, 1978; Rhoads and Germano 1982, 1986; Nilsson and Rosenberg 1997, 2000) and are shown in Figure 10.1.",2012-06,,CSS
Modifiers,Biological Modifers,Community Successional Stage,Stage 0,CMECS Modifier Value,"These oligozoic soft-sediment areas show little evidence of multi-cellular life; however, benthic samples that are retrieved and processed under magnification from Stage 0 stations will generally produce low numbers of small macrofauna or meiofauna. Multicellular fauna will not be obvious to the unassisted eye when examining sediment, and it will not be obvious in high-resolution images of the seafloor. Bacterial mats may be present. If examining sediment profile images, guidelines from Rhoads and Germano (1982, 1986) can be followed or the Nilsson-Rosenberg BHQ metrics (Nilsson and Rosenberg 1997, 2000) can be used (BHQ values for Stage 0 will range from 0 to 1.99). No evidence of active bioturbation exists, and aRPD depths are typically < 2 millimeters.",2012-06,,CSS01
Modifiers,Biological Modifers,Community Successional Stage,Stage 1,CMECS Modifier Value,"These associations are inhabited by small opportunistic fauna (e.g., capitellids and spionids) in the upper centimeter of sediment. Larger fauna are not present, although juvenile individuals of larger species may occur. Names of small, opportunistic local species typical of Stage 1 are available in the regional literature. Surface expressions include small tubes (< 2 millimeters in diameter) of polychaetes or other fauna, or evidence of oligochaete burrowing activities. Subsurface evidence of either small worms or small burrow structures will primarily occur in the upper centimeter of sediment. If examining sediment profile images, guidelines from Rhoads and Germano (1982, 1986) can be followed or the Nilsson-Rosenberg BHQ metrics (Nilsson and Rosenberg 1997, 2000) can be used (Stage 1 BHQ values will range from 2 to < 5). Bioturbation depths will be shallow, with an aRPD depth typically > 2 millimeters to < 2 centimeters.",2012-06,,CSS02
Modifiers,Biological Modifers,Community Successional Stage,Stage 2,CMECS Modifier Value,"Communities are characterized by fauna of intermediate sizes typically inhabiting the upper 2-4 centimeters of sediment. This stage is considered transitional and is often variable; in a percentage of samples it will be difficult to clearly distinguish Stage 2 from other stages within the continuous spectrum presented by natural environments. Regional literature identifying species typical of Stage 2 may be referenced. Surface evidence of Stage 2 communities includes openings to small burrows (defined as excavations with a lumen width < 1 centimeter) and the presence of mid-sized tube dwelling fauna (e.g., robust Ampelisca tube mats; tubes > 2 millimeters in diameter; or tubes longer than 30 millimeters if very thin). Subsurface evidence includes burrows of polychaetes or other fauna in the upper 2-4 centimeters of sediment, small shallow-dwelling opportunistic bivalves, and small feeding voids in the upper 4 centimeters of sediment. If examining sediment profile images, guidelines from Rhoads and Germano (1982, 1986) can be followed or the Nilsson-Rosenberg BHQ metrics (Nilsson and Rosenberg 1997, 2000) can be used (BHQ for Stage 2 will range from 5 to 10).",2012-06,,CSS03
Modifiers,Biological Modifers,Community Successional Stage,Stage 3,CMECS Modifier Value,"These communities are identified by larger, long-lived, deep burrowing fauna or by evidence of the activities of those fauna; burrowing activities typically extend deeper than 5 centimeters. Characteristic species vary among localities and among environments; species can be identified through regionally appropriate literature. Common surface expression may include very large tube-building fauna (> 3 millimeters in diameter or > 30 mm in length), larger fecal mounds, burrowing urchins or ophiuroids, pits or tunnel openings (e.g., crustacean excavations with a lumen width of > 1 centimeter), or large digging spoils associated with pits or tunnels. Subsurface characteristics include oxygenated or active faunal feeding voids at 5 centimeters or deeper, active tunnels (subsurface excavations with a lumen width of > 1 centimeter) at depth, or presence of large polychaetes or other fauna. Frequently, evidence of smaller, opportunistic fauna will also be present in Stage 3 communities; these fauna are not necessarily eliminated by larger fauna. If evaluating sediment profile images, guidelines from Rhoads and Germano (1982, 1986) can be followed, or the Nilsson-Rosenberg Benthic Habitat Quality (BHQ) metric (Nilsson and Rosenberg 1997, 2000) can be used (Stage 3 will have BHQ > 10). Extensive bioturbation will be evidenced by deep RPD and aRPD depths.",2012-06,,CSS04
Modifiers,Biological Modifers,Invertebrate Community Organism Size,,CMECS Modifier,"The Invertebrate Community Organism Size modifier is intended for use in the Biotic Component, Faunal Bed Class. Ecological theory of community succession and disturbance posits that less frequently disturbed environments will provide the stability to support longer-lived communities of larger organisms, while frequently disturbed environments will be characterized by smaller and shorter-lived organisms. Faunal Bed communities are often complex, with a wide range of individual organisms and species occurring in many sizes to fill a variety of ecological niches. CMECS provides a coarse set of Organism Size Modifiers to describe Faunal Bed communities through sizes of the larger organisms that are evident in an observational unit. Many different methods have historically been proposed to distinguish macrofauna from megafauna—ranging from “visible to the unassisted eye,” to retention on various screen sizes, to inclusion only of
much larger organisms. The CMECS criterion used to identify megafauna is a body size > 1 cm (in the smallest dimension). Importantly, this modifier describes the defining, significant, or dominant organisms that best characterize a community, recognizing that most communities include a variety of organisms that occur in both large and small individual sizes.",2012-06,,ICO
Modifiers,Biological Modifers,Invertebrate Community Organism Size,Large Megafauna,CMECS Modifier Value,"Benthic invertebrate communities that are dominated by organisms that typically reach a body size of > 3 to 10 centimeters in the smallest dimension (e.g., height, width), with this measurement not to include the length of slender, lateral protrusions (such as arms or tentacles).",2012-06,,ICOS01
Modifiers,Biological Modifers,Invertebrate Community Organism Size,Megafauna,CMECS Modifier Value,"Benthic invertebrate communities that are dominated by organisms that typically reach a body size of > 1 to 3 centimeters in the smallest dimension (e.g., height, width), with this measurement not to include the length of slender, lateral protrusions (such as arms or tentacles). These communities may be identified by evidence of these fauna (e.g., large mounds or pit or tunnel openings of > 1 to 3 centimeters).",2012-06,,ICOS02
Modifiers,Biological Modifers,Invertebrate Community Organism Size,Large Macrofauna,CMECS Modifier Value,Benthic invertebrate communities that are dominated by organisms with a body width (smallest dimension) of > 2 millimeters to 1 centimeter; living organisms larger than this size range are rare in these infaunal or epifaunal associations.,2012-06,,ICOS03
Modifiers,Biological Modifers,Invertebrate Community Organism Size,Small Macrofauna,CMECS Modifier Value,Benthic invertebrate communities that are dominated by organisms with a body width (smallest dimension) of > 0.5 to 2 millimeters; living organisms larger than this size range are rare in these infaunal or epifaunal associations.,2012-06,,ICOS04
Modifiers,Biological Modifers,Invertebrate Community Organism Size,Meiofauna,CMECS Modifier Value,"Benthic invertebrate communities that are dominated by organisms with a body width (smallest dimension) of 0.5 mm or less, that would typically pass through an 0.5 mm sieve but be retained on an 0.25 mm sieve. Living organisms larger than this size range are rare in the infaunal or epifaunal association; the modifier may be applied to any classification unit within Faunal Bed.",2012-06,,ICOS05
Modifiers,Biological Modifers,Phytoplankton Productivity,,CMECS Modifier,"Productivity is a general categorization of the level of primary productivity—that is, the photosynthetic activity of autotrophs, including plankton, benthic microalgae, macroalgae, and vascular vegetation. The density of phytoplankton can be estimated by measuring the level of chlorophyll a in the water column, since all phytoplankton contain this fluorescent pigment enabling the harvesting of light. This measure also indirectly reflects the abundance of dissolved labile macronutrients (DIN and DIP), which phytoplankton use in photosynthetic processes. In broad terms, chlorophyll a content reflects net productivity, giving an indication of the trophic status of the system or the balance of primary production; secondary consumption by zooplankton, fish, and predators; and export from the system. Productivity is indicated by chlorophyll a concentration in water columns and by total biomass in macroalgal and rooted vascular plant communities. For water column phytoplankton communities, the modifier categories were derived, with modification, from the NOAA Estuarine Eutrophication Survey (NOAA 1997).",2012-06,,PP
Modifiers,Biological Modifers,Phytoplankton Productivity,Oligotrophic,CMECS Modifier Value,< 5 µg/L chlorophyll a,2012-06,,PP01
Modifiers,Biological Modifers,Phytoplankton Productivity,Mesotrophic,CMECS Modifier Value,5 to < 50 µg/L chlorophyll a,2012-06,,PP02
Modifiers,Biological Modifers,Phytoplankton Productivity,Eutrophic,CMECS Modifier Value,≥ 50 µg/L chlorophyll a,2012-06,,PP03
Modifiers,Biological Modifers,Macrovegetation Productivity,,CMECS Modifier,"Productivity is a general categorization of the level of primary productivity—that is, the photosynthetic activity of autotrophs, including plankton, benthic microalgae, macroalgae, and vascular vegetation. The density of phytoplankton can be estimated by measuring the level of chlorophyll a in the water column, since all phytoplankton contain this fluorescent pigment enabling the harvesting of light. This measure also indirectly reflects the abundance of dissolved labile macronutrients (DIN and DIP), which phytoplankton use in photosynthetic processes. In broad terms, chlorophyll a content reflects net productivity, giving an indication of the trophic status of the system or the balance of primary production; secondary consumption by zooplankton, fish, and predators; and export from the system. Productivity is indicated by chlorophyll a concentration in water columns and by total biomass in macroalgal and rooted vascular plant communities. For water column phytoplankton communities, the modifier categories were derived, with modification, from the NOAA Estuarine Eutrophication Survey (NOAA 1997).",2012-06,,MP
Modifiers,Biological Modifers,Macrovegetation Productivity,Oligotrophic,CMECS Modifier Value,< 50 mg dry wt/m2 biomass,2012-06,,MP01
Modifiers,Biological Modifers,Macrovegetation Productivity,Mesotrophic,CMECS Modifier Value,"50 to < 1,000 mg dry wt/m2 biomass",2012-06,,MP02
Modifiers,Biological Modifers,Macrovegetation Productivity,Eutrophic,CMECS Modifier Value,"≥ 1,000 mg dry wt/m2 biomass",2012-06,,MP03
Modifiers,Temporal Modifiers,,,CMECS Modifier Type,,2012-06,,
Modifiers,Temporal Modifiers,Temporal Persistence,,CMECS Modifier,,2012-06,,TP
Modifiers,Temporal Modifiers,Temporal Persistence,Stochastic,CMECS Modifier Value,"The Temporal Persistence Modifier describes the permanency or variability of a hydromorphic, geomorphic, or biological feature.",2012-06,,TP01
Modifiers,Temporal Modifiers,Temporal Persistence,Hours,CMECS Modifier Value,,2012-06,,TP02
Modifiers,Temporal Modifiers,Temporal Persistence,Days,CMECS Modifier Value,,2012-06,,TP03
Modifiers,Temporal Modifiers,Temporal Persistence,Weeks,CMECS Modifier Value,,2012-06,,TP04
Modifiers,Temporal Modifiers,Temporal Persistence,Months,CMECS Modifier Value,,2012-06,,TP05
Modifiers,Temporal Modifiers,Temporal Persistence,Years,CMECS Modifier Value,,2012-06,,TP06
Modifiers,Temporal Modifiers,Temporal Persistence,Inter-Annual,CMECS Modifier Value,,2012-06,,TP07
Modifiers,Temporal Modifiers,Temporal Persistence,Decades,CMECS Modifier Value,,2012-06,,TP08
Modifiers,Temporal Modifiers,Temporal Persistence,Centuries,CMECS Modifier Value,,2012-06,,TP09
Modifiers,Physical Modifiers,,,CMECS Modifier Type,,2012-06,,
Modifiers,Physical Modifiers,Energy Direction,,CMECS Modifier,"Energy can be classified according to its principal direction of travel or influence. In the case of tidal energy, this is generally an oscillation between onshore and offshore motions. In the case of currents and waves, the energy is usually directional.",2012-06,,ED
Modifiers,Physical Modifiers,Energy Direction,Baroclinic,CMECS Modifier Value,Motion along lines of equal pressure within the water column.,2012-06,,ED01
Modifiers,Physical Modifiers,Energy Direction,Circular,CMECS Modifier Value,"Motion in a closed, circular form.",2012-06,,ED02
Modifiers,Physical Modifiers,Energy Direction,Downward,CMECS Modifier Value,Descending and perpendicular to the sea surface or bottom.,2012-06,,ED03
Modifiers,Physical Modifiers,Energy Direction,Horizontal,CMECS Modifier Value,Parallel to the sea surface or bottom.,2012-06,,ED04
Modifiers,Physical Modifiers,Energy Direction,Mixed,CMECS Modifier Value,Combination of more than one of above directions.,2012-06,,ED05
Modifiers,Physical Modifiers,Energy Direction,Seaward,CMECS Modifier Value,"On land, water currents following a topographic gradient toward the sea.",2012-06,,ED06
Modifiers,Physical Modifiers,Energy Direction,Upward,CMECS Modifier Value,Ascending and perpendicular to the sea surface or bottom.,2012-06,,ED07
Modifiers,Physical Modifiers,Energy Intensity,,CMECS Modifier,Energy Intensity is classified into four categories as shown on Table 10.8.,2012-06,,EI
Modifiers,Physical Modifiers,Energy Intensity,Very Low Energy,CMECS Modifier Value,Area experiences little current motion under most conditions.,2012-06,,EI01
Modifiers,Physical Modifiers,Energy Intensity,Low Energy,CMECS Modifier Value,Area typically experiences very weak currents (0-1 knots).,2012-06,,EI02
Modifiers,Physical Modifiers,Energy Intensity,Moderate Energy,CMECS Modifier Value,Area regularly experiences moderate tidal currents (> 1-3 knots).,2012-06,,EI03
Modifiers,Physical Modifiers,Energy Intensity,High Energy,CMECS Modifier Value,Area regularly experiences strong currents (> 3 knots).,2012-06,,EI04
Modifiers,Physical Modifiers,Energy Type,,CMECS Modifier,The Energy Type Modifier ia adapted from Dethier (1990) and Zacharias et al. (1998) with type categories as described in Table 10.9.,2012-06,,ET
Modifiers,Physical Modifiers,Energy Type,Current,CMECS Modifier Value,Coherent directional motion of the water.,2012-06,,ET01
Modifiers,Physical Modifiers,Energy Type,Internal Wave,CMECS Modifier Value,Vertical and transverse oscillating water motion- below the surface- due to seismic energy or a pressure differential.,2012-06,,ET02
Modifiers,Physical Modifiers,Energy Type,Surface Wave,CMECS Modifier Value,Vertical and transverse oscillating surface water motion due to wind or seismic energy.,2012-06,,ET03
Modifiers,Physical Modifiers,Energy Type,Tide,CMECS Modifier Value,"Periodic, horizontally oscillating water motion.",2012-06,,ET04
Modifiers,Physical Modifiers,Energy Type,Wind,CMECS Modifier Value,Coherent directional motion of the atmosphere.,2012-06,,ET05
Modifiers,Physical Modifiers,Induration,,CMECS Modifier,"The stability of the substrate is a strong determinant of the suitability of an area for colonization by sessile organisms, and for feeding or burrowing activities by benthic epifauna and infauna. The Induration Modifier can be used to describe the hardness or amount of consolidation of bottom sediments (Substrate Component units). Induration is often measured with acoustic tools. The following categories are adopted from Greene et al. (2007).",2012-06,,I
Modifiers,Physical Modifiers,Induration,Hard,CMECS Modifier Value,"Strongly consolidated fine sediment with low water content, or rock outcrop, or bedrock.",2012-06,,I01
Modifiers,Physical Modifiers,Induration,Mixed,CMECS Modifier Value,A blend of hard and soft substrate materials.,2012-06,,I02
Modifiers,Physical Modifiers,Induration,Soft,CMECS Modifier Value,"Loose, fine, unconsolidated, or sediment-covered substrate with a high water content.",2012-06,,I03
Modifiers,Physical Modifiers,Seafloor Rugosity,,CMECS Modifier,"Seafloor Rugosity, a measure of surface ""roughness"", is applicable at several scales using different measures (e.g., bathymetric x-y-z data, measured transect data, video data). Rugosity is derived as the ratio of surface area to planar (flat) area for a grid cell, or as the ratio of surface area to linear area along transects, and is calculated as follows: ƒr = Ar / Ag
where Ar is the real (true, actual) surface area and Ag is the geometric surface area (IUPAC 1997). Values for Seafloor Rugosity are taken from Greene et al. 2007. The five rugosity types and their associated numeric values are given in Table 10.11.",2012-06,,SR
Modifiers,Physical Modifiers,Seafloor Rugosity,Very Low,CMECS Modifier Value,1.0 to < 1.25,2012-06,,SR01
Modifiers,Physical Modifiers,Seafloor Rugosity,Low,CMECS Modifier Value,1.25 to < 1.50,2012-06,,SR02
Modifiers,Physical Modifiers,Seafloor Rugosity,Moderate,CMECS Modifier Value,1.50 to < 1.75,2012-06,,SR03
Modifiers,Physical Modifiers,Seafloor Rugosity,High ,CMECS Modifier Value,1.75 to < 2.00,2012-06,,SR04
Modifiers,Physical Modifiers,Seafloor Rugosity,Very High,CMECS Modifier Value,≥ 2.00,2012-06,,SR05
Modifiers,Physical Modifiers,Small Scale Slope,,CMECS Modifier,The Slope Modifier refers to the angle of the substrate at a scale appropriate for the feature being described; Greene et al.’s (2007) geological classification is followed here to characterize slope.,2012-06,,S
Modifiers,Physical Modifiers,Small Scale Slope,Flat,CMECS Modifier Value,0 to < 5 degrees,2012-06,,S01
Modifiers,Physical Modifiers,Small Scale Slope,Sloping,CMECS Modifier Value,5 to < 30 degrees,2012-06,,S02
Modifiers,Physical Modifiers,Small Scale Slope,Steeply Sloping,CMECS Modifier Value,30 to < 60 degrees,2012-06,,S03
Modifiers,Physical Modifiers,Small Scale Slope,Vertical,CMECS Modifier Value,60 to < 90 degrees,2012-06,,S04
Modifiers,Physical Modifiers,Small Scale Slope,Overhang,CMECS Modifier Value,≥ 90 degrees,2012-06,,S05
Modifiers,Physical Modifiers,Substrate Descriptor,,CMECS Modifier,"The Substrate Component describes substrate size and composition, considering substrate origin as Geologic, Biogenic, and Anthropogenic. The Geologic classifications follow Wentworth (1922) and Folk (1954) to describe particle sizes and mixes, but do not consider geologic composition or several other important attributes. Substrate descriptors provide consistent terminology to meet these needs. Certain substrate descriptors may be used for other applications as well, e.g., Well-Mixed, Patchy, and Well-Sorted can be used to describe biotic communities or other units.",2012-06,,SD
Modifiers,Physical Modifiers,Substrate Descriptor,Carbonate,CMECS Modifier Value,"Geologic Origin particles or substrates composed mainly of carbonate minerals, e.g., limestone, dolostone.",2012-06,,SD01
Modifiers,Physical Modifiers,Substrate Descriptor,Compacted,CMECS Modifier Value,"Unconsolidated sediments with very little water content and a hard, packed form that resists penetration and resuspension. This is one of several terms that are used in CMECS to describe the fluid consistency of substrates.",2012-06,,SD02
Modifiers,Physical Modifiers,Substrate Descriptor,Floc,CMECS Modifier Value,"A layer of very fine particles suspended in the water column just above firmer sediment. This is often most apparent with visual or imaging techniques, and may appear as a turbid or cloudy layer above a more defined sediment surface. This is one of several terms that are used in CMECS to describe the fluid consistency of substrates.",2012-06,,SD03
Modifiers,Physical Modifiers,Substrate Descriptor,Fluid,CMECS Modifier Value,"Substrate with high water content. When a palmful of sediment is squeezed in the hand, most or all flows through the fingers after full pressure (Schoeneberger et al. 2002). This is one of several terms that are used to describe the fluid consistency of substrates in CMECS.",2012-06,,SD04
Modifiers,Physical Modifiers,Substrate Descriptor,Gas,CMECS Modifier Value,"Subsurface bubbles of gas, possibly resulting from methanogenesis or other biogeochemical processes, are present. Escaping gas may or may not express at the sediment surface.",2012-06,,SD05
Modifiers,Physical Modifiers,Substrate Descriptor,Mobile,CMECS Modifier Value,"Bedded sediments which regularly resuspend and/or move with local hydrodynamics due to the density, grain size, shape, and/or high water content of the sediment, or due to the higher hydrodynamic energy experienced in the local area. This term is used in CMECS to describe or predict behavior of substrates.",2012-06,,SD06
Modifiers,Physical Modifiers,Substrate Descriptor,Non-Mobile,CMECS Modifier Value,"Bedded sediments which do not regularly resuspend and/or move with local hydrodynamics due to the density, grain size, shape, and/or compaction (low water content) of the sediment particles, or due to the lower hydrodynamic energy experienced in the local area. This term is used in CMECS to describe or predict behavior of substrates.",2012-06,,SD07
Modifiers,Physical Modifiers,Substrate Descriptor,Mud Clasts,CMECS Modifier Value,"Compacted or consolidated fragments (clumps, lumps, balls, shards, etc.) of mud or clay, typically occurring at the sediment surface, with diameters of millimeters to < 1 meter.",2012-06,,
Modifiers,Physical Modifiers,Substrate Descriptor,Patchy,CMECS Modifier Value,"Different elements within a sample, observational unit, or reporting unit are grouped into clusters or patches at the scale of the sample or unit. ""Patchy"" implies that clusters of elements or particles are arranged in a haphazard manner, as clusters of pebbles scattered on sand. This is one of several terms used in CMECS to describe unit variability.",2012-06,,SD08
Modifiers,Physical Modifiers,Substrate Descriptor,Pelagic Clay,CMECS Modifier Value,"Deep sea Geologic Substrates composed primarily of aeolian deposits, volcanic ash, and other non-biogenic materials that sink into the very deep oceans, or may be generated in the deep oceans. Pelagic Clays contain less than 30% ooze materials (tests, shells, and frustules of plankters) and are found in areas of low surface productivity.",2012-06,,SD09
Modifiers,Physical Modifiers,Substrate Descriptor,Red Clay,CMECS Modifier Value,"A type of Pelagic Clay composed primarily of aeolian dust, with various marine-generated particles mixed in (fish bones, teeth, authigenic mineral deposits). Red clays are distinguished by their characteristic bright red or brown color and are found in the deepest and most remote ocean areas. Red Clay contains less than 30% ooze materials.",2012-06,,SD10
Modifiers,Physical Modifiers,Substrate Descriptor,Siliciclastic,CMECS Modifier Value,"Geologic Substrate Origin particles or substrates composed primarily of silicate minerals e.g., quartz, sandstone, siltstone.",2012-06,,SD11
Modifiers,Physical Modifiers,Substrate Descriptor,Sulfidic,CMECS Modifier Value,"Substrate in which bacterial sulfate reduction is an important biogeochemical process; this generally occurs in anaerobic environments and is often identifiable by a very low reflectance black or blue color, and a characteristic ""rotten egg"" odor when sediments are examined in air.",2012-06,,SD12
Modifiers,Physical Modifiers,Substrate Descriptor,Volcaniclastic,CMECS Modifier Value,"Geologic Origin particles or substrates composed primarily of volcanic rock, crystals, glassy pumice, ash, or other volcanic products.",2012-06,,SD13
Modifiers,Physical Modifiers,Substrate Descriptor,Volcanic Ash,CMECS Modifier Value,"A substrate or substrate layer composed primarily of volcanic dust and volcanic ash, often with various aeolian or marine-generated particles mixed in. In areas of the deep sea, where terrigenous input and bioturbation are limited, Volcanic Ash may be present in distinct layers at depth in the substrate matrix (see the ""Layers"" modifier).",2012-06,,SD14
Modifiers,Physical Modifiers,Substrate Descriptor,Well-Mixed,CMECS Modifier Value,"Different elements within a sample, observational unit, or reporting unit are well-mixed or poorly-sorted at the scale of the sample or unit. Well-mixed implies that elements or particles are completely and relatively evenly intermingled, e.g., Granule/Sand/Mud particles in an area with high bioturbation. This is one of several terms used in CMECS to describe unit variability. Note that CMECS does not use the equivalent geological term ""Poorly-Sorted"", because the descriptor may be used to describe distributions of non-geological features (such as biological communities or Geoform Component structures).",2012-06,,SD15
Modifiers,Physical Modifiers,Substrate Descriptor,Well-Sorted,CMECS Modifier Value,"Different elements within a sample, observational unit, or reporting unit are separated into different areas at the scale of the sample or unit. Well-sorted implies that elements or particles are (or have been) separated and arranged in a non- haphazard manner, as an area of Coarse Sand adjacent to an area of Clay. This is one of several terms used in CMECS to describe unit variability.",2012-06,,SD16
Modifiers,Physical Modifiers,Surface Pattern,,CMECS Modifier,"The surface of the seafloor may be flat (on a scale of centimeters or meters), or it may be characterized by roughness or pattern. The Substrate Component describes substrate size and composition, while the Geoform Component describes texture or shape—including the Surface Pattern Modifier. These roughness patterns may have physical origins (e.g., caused by wave or current action) or biological origins (due to activities of life forms, e.g., mounds or tunnels). Physically influenced bedforms may appear as regularly spaced “sand ripples” (with a wavelength on the order of centimeters), which may be indicative of wave oscillations or of current flows. Physical energy in soft-sediment areas may occur through riverine flow or tidally driven flow, leading to erosion and deposition of mobile sediment layers.",2012-06,,SP
Modifiers,Physical Modifiers,Surface Pattern,Biological,CMECS Modifier Value,"Roughness appears due to bioturbation, fecal mounds, tunneling, feeding or locomotory activities of megafauna, or other faunal activities. Further characterization of biological features is described in the Biotic Component.",2012-06,,SP01
Modifiers,Physical Modifiers,Surface Pattern,Irregular,CMECS Modifier Value,"Sediment surface has a perceptible roughness or texture that is non-regular in either frequency, direction, or amplitude.",2012-06,,SP02
Modifiers,Physical Modifiers,Surface Pattern,Physical,CMECS Modifier Value,"Roughness appears due to water motion, but the nature of the roughness is other than Rippled.",2012-06,,SP03
