Component CODE,UNIT CODE (WC),WATER COLUMN LAYER,UNIT CODE (Sal),SALINITY REGIME,UNIT CODE (Temp),TEMPERATURE REGIME,UNIT CODE (Hydro),HYDROFORM CLASS,HYDROFORM,HYDROFORM TYPE,UNIT CODE (BioChem),BIOGEOCHEMICAL FEATURE,DEFINITION
W,,,,,,,h1.8,Current,Ekman Flow,,,,"The flow of water at 90˚ to the direction of the wind, at steady state, due to Earth's rotational effect."
W,,,,,,,h1.8.1,Current,Ekman Flow,Ekman Upwelling,,,"Upwardly-directed current resulting from either the divergence of water masses or from movement of surface water away from the coast. At the divergence of two water masses (or the wind-driven movement of water away from a coastline), continuity of mass flow will move water from depth to the surface as replacement. In the nearshore, the circulation will bring the water from the shallow bottom. In deeper waters, the upwelling will carry water from a variety of depths—from near the surface to depths to as great as 500 meters (below the pycnocline). Because the upwelled water is working against gravity, its maximum influence is not as great as downwelled water (which is aided by gravity); however, the upwelling can reach into the mesopelagic zone."
W,,,,,,,h1.8.2,Current,Ekman Flow,Ekman Downwelling,,,"Downwardly-directed current, resulting from either the convergence of water masses or from the convergence of a water mass with a coastline. At this convergence, gravity will force water into a downwelling, which will carry surface water to greater depths. In the nearshore, the circulation will take the water to the shallow bottom and then move seaward. In deeper waters, the downwelling will carry water to a depth determined by energy dissipation and relative density considerations; the maximum downwelling depth can be into the abyssalpelagic zone."
W,,,,,,,h1.9,Current,Inertial Current,,,,"Currents that continue motion through inertia. Due to the rotation of the Earth, inertial currents tend to form circular gyres."
W,,,,,,,h1.10,Current,Langmuir Circulation,,,,"Rotational oscillatory motion of surface waters induced by wind and Coriolis deflection. This circulation is caused by the transport of a parcel of water obliquely to the direction of wind transport due to the apparent Coriolis force imparted by the rotation of the earth. In the Northern Hemisphere this vector is to the right of the wind direction, in the Southern Hemisphere, it is to the left. This causes a piling of water in cells lateral to the direction of travel. The piled water sinks to balance forces, and it also circulates to create elongated tubular circulations of water at the surface. Langmuir cells are important to productivity by circulating water through the water column, and form fronts at the junction of two Langmuir cells that are important points of aggregation and feeding of plankton and higher trophic levels (Wetzel 2001)."
W,,,,,,,h1.11,Current,Mean Surface Current,,,,The time-averaged steady state ocean surface current pattern responsible for mean oceanic water motions.
W,,,,,,,h1.11.1,Current,Mean Surface Current,North Equatorial Surface Current,,,"The southern portion of the northern ocean gyres. This current flows westward, is maintained by the trade winds, and entrains some water from southern oceans into the northern oceans. It is accompanied by a weaker easterly-flowing counter current."
W,,,,,,,h1.11.2,Current,Mean Surface Current,South Equatorial Surface Current,,,"The counterpart to the North Equatorial current, also flows east to west, forming the northern limb of the southern ocean gyres."
W,,,,,,,h1.12,Current,Mesoscale Eddy,,,,"A rotational feature that (a) breaks off of an ocean gyre or large current (such as the Gulf Stream) and (b) persist autonomously for some period (from days to months) at sizes of 20 kilometers to 500 kilometers. These eddies play an important role in ocean mixing—and in sheltering and acting as nursery waters for biota. The most energetic eddies are at the smaller end of the spatial scale. The larger eddies (called mesoscale eddies) are slower moving, but they persist for many months and are ubiquitous in the global oceans. Mesoscale Eddies are most prevalent in the North Atlantic and North Pacific, but they can occur in all oceans."
W,,,,,,,h1.12.1,Current,Mesoscale Eddy,Cold Core Ring,,,"An eddy that forms when a boundary current meander pinches off and closes, trapping a parcel of colder water in a surrounding ring of warmer water. The ring measures up to 300 kilometers and extends to 4,000 meters depth or the ocean bottom. The colder water in the core tends to be higher in nutrients and more productive than that in the surrounding ring, so they become islands of biological activity as they move through the ocean. Rings form in all oceans and can persist for months to years."
W,,,,,,,h1.12.2,Current,Mesoscale Eddy,Warm Core Ring,,,"An eddy that form when a boundary current pinches off a parcel of warmer water. The ring measures 100-200 kilometers and extends to 1,500 meters depth. The warm water in the core tends to be less productive than the colder, nutrient rich waters in the ring."
W,,,,,,,h1.13,Current,Residual Current,,,,Current movement resulting from asymmetry in tidal flow—notably within a partially enclosed estuary or embayment—that results in characteristic estuarine circulation patterns.
W,,,,,,,h1.13.1,Current,Residual Current,Fjord Circulation,,,"Circulation in estuaries that possess a sill at the seaward end, inhibiting inflow of seawater into the bottom waters. Seawater flows over the sill mixing into the intermediate water of the estuary, and sinking to the bottom. The estuary receives freshwater input in excess of evaporation and the resulting brackish mixture is exported across the sill into the ocean end-member. The limited exchange of bottom waters can promote hypoxic conditions in some fjord estuaries."
W,,,,,,,h1.13.2,Current,Residual Current,Partially Mixed Domain,,,"An estuarine circulation with an intermediate level of advective and tidal energy, that can disrupt the density barrier between the fresher upper and salty lower water column of an estuary, entraining water in both directions. This results in a gradient of increasing salinity from top to bottom, with no barrier to mixing."
W,,,,,,,h1.13.3,Current,Residual Current,Reverse Estuarine Flow,,,"An estuarine circulation where evaporation greatly exceeds freshwater input, as in hot dry climes, salinity is concentrated within the estuarine basin. This results in a salinity maximum in the estuary that can far exceed seawater salinity."
W,,,,,,,h1.13.4,Current,Residual Current,Salt Wedge Domain,,,"Portions of estuaries that have an unimpeded connection of bottom waters to the sea develop a wedge-shaped formation of high-salinity water in the bottom, with lower salinity water from upstream freshwater loading in the upper water column. The wedge form is developed as hydrostatic pressure of river water pushes against the incoming seawater and, being less dense, rides over it. The difference in salinity and density is important in estuarine chemistry and biology as the density barrier between upper and lower water columns restrains mixing and transport across the transitional gradient, called the pycnocline. This leads to an upper, autotrophic and lower, generally heterotrophic portion of the water column."
W,,,,,,,h1.13.5,Current,Residual Current,Well-mixed Domain,,,"Reaches of estuaries where the tidal flux and/or the river discharge is sufficient to overcome the salt-wedge structure, the water column becomes well-mixed and vertical homogeneous."
W,,,,,,,h1.14,Current,Sub-mesoscale Eddy,,,,A reverse current with rotational movement created when fluid flows past an obstacle. Sub-mesoscale eddies are of size scale smaller than 20 kilometers.
W,,,,,,,h1.15,Current,Thermohaline Eddy,,,,Eddy formation due to the interaction of temperature and salinity differences between two water masses initiating convective flow.
W,,,,,,,h1.16,Current,Tidal Flow,,,,"Advective flow resulting from of tidal movement, often amplified in velocity when moving through an inlet, pass or channel. Tides are important in mixing the water column and transporting water, salt, nutrients and biota, particularly weak-swimming larval or non-motile planktonic forms. The life cycles of many organisms depend on tidal transport for survival."
W,,,,,,,h1.16.1,Current,Tidal Flow,Diurnal Tidal Flow,,,"Tidal ocean waters where, due to the geometry of the ocean basin and obstructions presented by land, a second daily tide is suppressed, resulting in a single or diurnal tide regime with one high and one low tide per day, as in the Gulf of Mexico."
W,,,,,,,h1.16.2,Current,Tidal Flow,Mixed Semi-diurnal Tidal Flow,,,"Tidal ocean waters where the amplitudes of two semi-diurnal tides are unequal, resulting in a stronger and a weaker high and low tide each day."
W,,,,,,,h1.16.3,Current,Tidal Flow,Semi-diurnal Tidal Flow,,,Tidal ocean waters where the gravitational action of the sun and moon on Earth's oceans create two high and two low tides per day of relatively equal amplitude.
W,,,,,,,h1.17,Current,Turbidity Flow,,,,A flow of water down slope carrying a dense suspension of fluid mud or unconsolidated material.
W,,,,,,,h1.18,Current,Wave-driven Current,,,,Residual current caused by asymmetrical force created by wave motion.
W,,,,,,,h1.18.1,Current,Wave-driven Current,Longshore Current,,,"A current that moves parallel to or at an oblique angle to the shoreline, carrying water and often transporting soft sediments downstream. Prevailing wind and wave directions can persist in a longshore direction for long periods, and are commonly responsible for the formation of spits, bars and many barrier islands."
W,,,,,,,h1.18.2,Current,Wave-driven Current,Rip Current,,,A formation of water flow in a seaward direction generated by wave action and local topography nearshore. Shallow depressions in the sea floor or breaks in a bar will channel receding water at high velocity away from shore and through the surf zone after onshore wave action.
W,,,,,,,h1.18.3,Current,Wave-driven Current,Undertow,,,Seaward-directed current generated by water that is receding from the shoreline after wave run up.
W,,,,,,,h1.19,Current,Wind-driven Current,,,,"Current caused by wind shear as distinguished by those caused by density differences, which result in thermohaline circulation. Though only a portion of the oceans are exposed to wind energy, winds are responsible for the great ocean gyres, dominant features of ocean circulation."
W,,,,,,,h2,Front,,,,,"Front Hydroforms are linear features formed at the conjunction of two or more water masses with different properties. Fronts are formed in many different ways when two water masses juxtapose. The front itself becomes a third water feature, and it has several distinctive properties of its own, including current speed and direction, physicochemical properties derived from the two merging water masses, sharp gradients in properties (such as salinity, temperature, nutrients and water clarity) and an accumulation of matter and biota. In estuaries, fronts can occur at the boundaries of horizontal layers between fresher upper layers and saltier bottom waters; in the ocean, fronts can occur between the upper mixed layer and lower layers."
W,,,,,,,h2.1,Front,Coastal Upwelling Front,,,,A frontal interface where a nearshore upwelling occurs due to local turbulent mixing. The upwelling front develops between the upwelling water and the coastal water mass.
W,,,,,,,h2.2,Front,Shelf-break Front,,,,"Frontal formations where cross-shelf waters encounter slope waters from the deeper oceans, often associated with upwelling. The seasonally transitional features are sites of high temperature, salinity and density gradients and often of high productivity where deep upwelled water contributes high nutrients."
W,,,,,,,h2.3,Front,Tidal Front,,,,"A front created by the linear convergence of two water masses brought into juxtaposition by tidal action. Generally the two masses will have differential characteristics such as temperature, density, and often of color and productivity. Fronts can be maintained as distinct due to these differences, which inhibit mixing across a density barrier. There is often strong vertical mixing on either side of the front, producing upwelling and aggregations of biota feeding on the material grown in situ or accumulated at the front."
W,,,,,,,h3,Water Mass,,,,,"The Water Mass Hydroform Class refers to a parcel of water with homogeneous properties (e.g., chemical, physical). If no other hydroform applies (or sufficient information is not available to classify the hydroform), the default would be a water mass that describes the general properties of the parcel. Any physicochemical property (or properties) can define a water mass. Common water mass types are those of homogeneous salinity, temperature or density—or a combination of those properties. The properties of a water mass generally change relatively slowly, because the factors that created and constrain the homogeneity tend to be buffered by the inertial properties of water itself. Thermal mass of water, for example, means that the water temperature will change much more slowly than air temperature. Non-conservative properties (such as nutrient concentration or pH) can change much more quickly, because biological processes can alter them."
W,,,,,,,h3.1,Water Mass,Background Mesoscale Field,,,,A water mass characterized by organized ocean-surface currents formed by coupled eddies (at the mesoscale length scale); responsible for much of water movement on the ocean surface.
W,,,,,,,h3.2,Water Mass,Fumarole Plume,,,,A plume of hot gases venting from the sea bottom associated with volcanic or tectonic activity from cracks in the Earth's crust; often a site of significant chemoautotrophic activity.
W,,,,,,,h3.3,Water Mass,Hydrothermal Plume,,,,"A discharge of hot fluids from sea-bottom vents associated with volcanic or tectonic activity. The fluids are often laden with high concentrations of minerals, which impart either a dark—even black—color or a white color. These minerals precipitate readily out of supersaturation."
W,,,,,,,h3.3.1,Water Mass,Hydrothermal Plume,Detached Hydrothermal Plume,,,"A parcel of hot, mineral rich water that has become detached from its source and forms a persistent lens within the water column."
W,,,,,,,h3.4,Water Mass,Ice,,,,"Frozen form of water, which is less dense than liquid water; ice floats on the surface of liquid water, sometimes extending into deep water zones. This property drives a number of important biological and physical processes in the ocean, including preventing freezing of the ocean to the bottom. Ice either floats on—or forms a solid cover on—the underlying water, which isolates atmospheric input for the duration of cover. Nonetheless, strong circulation and water motion occurs in the aquatic system under the ice (driven by advection of adjacent water masses or thermal convection). Because freshwater freezes at a higher temperature than salt water, surface freezing of the ocean concentrates salt brine in the liquid water below the ice. Ice formation and ice cover maintenance is relatively stable in both spatial and temporal terms, determined by relative air and water temperatures, velocity of water movements, and geomorphology of the setting."
W,,,,,,,h3.4.1,Water Mass,Ice,Drift Ice,,,Ice that floats freely on the sea surface.
W,,,,,,,h3.4.2,Water Mass,Ice,Fast Ice,,,"Ice that is attached to a land mass such as the coast or, in shallow water, the sea floor."
W,,,,,,,h3.4.3,Water Mass,Ice,Frazil or Grease Ice,,,"Ice formation that develops when super-cooled water is turbulently mixed, permitting development of small ice crystals which continually fragment and break up without forming ice cover. Over time a slushy suspension of increasing density forms on the surface of the water. In quiet conditions frazil crystals can freeze together to form a continuous thin sheet of young ice."
W,,,,,,,h3.4.4,Water Mass,Ice,Ice Field,,,Expanse of ice greater in size than an ice floe (≥10 kilometers in any dimension).
W,,,,,,,h3.4.5,Water Mass,Ice,Ice Floe,,,Large floating ice chunk less than 10 kilometers on its longest axis.
W,,,,,,,h3.4.6,Water Mass,Ice,Pack Ice,,,"Accumulation of drift ice into a large floating mass, often against a continental shoreline."
W,,,,,,,h.3.4.7,Water Mass,Ice,Pancake Ice,,,Thin plaques of compressed ice particles formed by wave action into plates several meters in diameter that float on the sea surface.
W,,,,,,,h3.4.8,Water Mass,Ice,Polnya,,,"An area of open, liquid seawater surrounded by ice."
W,,,,,,,h3.5,Water Mass,Mesoscale Lens,,,,"A trapped, homogeneous parcel of water lying within (or atop) larger ocean fields due to density differences. These hydroforms are 30 - 300 kilometers in size."
W,,,,,,,h3.5.1,Water Mass,Mesoscale Lens,River/Estuary Plume,,,"Formation of water resulting from the discharge of low-salinity water into marine waters of the ocean, forming a distinct layer of water on top of the seawater due to its lower density. The plume can extend for many kilometers and persist for months after the freshwater flow has stopped before being entrained into the seawater. These plumes are typically higher in nutrients, turbidity and productivity than the surrounding seawater and can gradually deliver those water quality characteristics to the adjacent ocean water."
W,,,,,,,h3.5.2,Water Mass,Mesoscale Lens,Meddy,,,"A lens of water that enters the eastern Atlantic from the Mediterranean Sea, flows down the Continental slope and pinches off at the depth of neutral buoyancy, about 1,000 meters. The salty warm water rotates clockwise and travels slowly westward in the Atlantic, persisting for many months."
W,,,,,,,h3.6,Water Mass,Microscale Lens,,,,A homogeneous parcel of water on the order of meters to a few kilometers positioned within (or atop) a larger ocean fields of different density.
W,,,,,,,h3.6.1,Water Mass,Microscale Lens,Small Freshwater Plume,,,"Similar to a river plume but on smaller scale and can be initiated from variety of sources such as a groundwater seep, a non-point source or a transient discharge."
W,,,,,,,h3.7,Water Mass,Winter Water Mass,,,,"The mass of water produced—and introduced to oceans—as a result of melting winter ice formations. These water masses tend to be fresher than surrounding waters, and they often flow over the denser salt water."
W,,,,,,,h4,Wave,,,,,"The Wave Hydroform Class is a propagation of energy that moves through the water, causing a vertical, oscillatory motion with characteristic wavelength, amplitude, and celerity. Waves are of several types: internal, standing, and surface. Each type of wave propagates energy and impacts the waters, substrate, and biota that it contacts. Waves are initiated by an energy source (such as wind, landslides, earthquakes, or volcanic eruptions), and they can occur at any depth in the water column. Wave energy varies depending on type and intensity of energy input; the wave regime can change on hourly timescales."
W,,,,,,,h4.1,Wave,Anthropogenic Wave,,,,Boat wake or other wave caused by energy resulting from human activity.
W,,,,,,,h4.2,Wave,Coastally Trapped Wave,,,,"A wave that moves along the coastal margin, which forms a trapping barrier."
W,,,,,,,h4.2.1,Wave,Coastally Trapped Wave,Internal Kelvin Wave,,,Subsurface gravity wave with a rotational component propagated along a density interface against a vertical barrier such as a coast or the wall of a basin.
W,,,,,,,h4.2.2,Wave,Coastally Trapped Wave,External Kelvin Wave,,,Surface gravity wave with a rotational component propagated along the sea surface against a vertical barrier such as a coast or the wall of a basin. Such Kelvin waves are important at the Equator in determining the presence and strength of El Niño/ENSO events.
W,,,,,,,h4.2.3,Wave,Coastally Trapped Wave,Shelf Wave,,,A wind-induced wave guided by continental shelf topography.
W,,,,,,,h4.2.4,Wave,Coastally Trapped Wave,Topographic Wave,,,"A sub-basin scale wave that is driven by wind-stress from the passage of cyclones across or along the shelf, with long period (~ 5 days) and to which a vorticity is imparted by the apparent Coriolis effect."
W,,,,,,,h4.3,Wave,Edge Wave,,,,"A wave that moves along a trapping barrier, such as the continental shelf, the continental margin or an inertial water mass."
W,,,,,,,h4.4,Wave,Equatorial Wave,,,,"A wave that is trapped by and moves along the Equatorial water mass, which forms a density barrier."
W,,,,,,,h4.5,Wave,Non-Equatorial Wave,,,,"A wave that is propagated along an edge or barrier, such as a continental margin, and that is not associated with an Equatorial water mass."
W,,,,,,,h4.6,Wave,Internal Wave,,,,"A wave that propagates along a density surface within the water column, below the water's surface."
W,,,,,,,h4.7,Wave,Seiche,,,,"A long-period, standing wave that creates an oscillatory sloshing of water within an enclosed water body. This is due to wind or pressure effects that cause water motions that resonate with the length scale of the water body."
W,,,,,,,h4.8,Wave,Storm Surge,,,,"A propagation of water associated with intense meteorological and wind activity such as a tropical storm. The surge of water from deep into shallow waters and onto land is caused by wind forcing in the forward, shoreward direction and by pressure differential within a cyclonic storm that positions extreme low pressure over a section of ocean, permitting tides to rise above normal range."
W,,,,,,,h4.9,Wave,Surf Zone,,,,"Zone with incipient wave breaks, which are the result of an increase in the steepness of the wave as the water depth decreases. The surf zone is the region extending from the seaward boundary of wave breaking to the limit of wave uprush. The surf zone is the specific subset of the wave hydroform where waves are breaking against a shoreline. This relatively narrow area occurs when waves encounter bottom friction and break, forming a region of high turbulence, mixing, and intense energy. This occurrence affects biota in the water column, as well as bottom and shore substrates and biota. The surf zone is highly variable temporally and spatially in extent, energy characteristics, and physicochemical properties; this variability is due to the tight coupling between the water column and the substrate it impacts. In areas of soft sediments, high turbidity can result. Benthic biota (such as diatom mats) can be mixed into the water column, imparting its photosynthetic parameters to the water column and elevating water-column productivity. Nutrients can also be mixed from disturbed sediments into the water column, elevating concentrations there."
