(Level 1),(Level 2),(Level 3),(Level 4),(Level 5),Unit Type,Defintion,CMECS Version,Component Code,Unit Code
Water Column Component,Water Column Layer ,Estuarine Tidal Riverine Coastal Surface Layer,,,CMECS Water Column Subcomponent: Water Column Layer,"Tidal fresh waters at the surface, from the land-water interface up to the 4 meter depth contour.",2012-06,W,l9
Water Column Component,Water Column Layer ,Estuarine Tidal Riverine Coastal Upper Water Column,,,CMECS Water Column Subcomponent: Water Column Layer,"Tidal fresh waters above the pycnocline (or mid-depth), from the land-water interface up to the 4 meter depth contour.",2012-06,W,l10
Water Column Component,Water Column Layer ,Estuarine Tidal Riverine Coastal Pycnocline,,,CMECS Water Column Subcomponent: Water Column Layer,"Tidal fresh waters within the pycnocline, from the land-water interface up to the 4 meter depth contour.",2012-06,W,l11
Water Column Component,Water Column Layer ,Estuarine Tidal Riverine Coastal Lower Water Column,,,CMECS Water Column Subcomponent: Water Column Layer,"Tidal fresh waters below the pycnocline (or mid-depth), from the land-water interface up to the 4 meter depth contour.",2012-06,W,l12
Water Column Component,Water Column Layer ,Estuarine Tidal Riverine Open Water Surface Layer,,,CMECS Water Column Subcomponent: Water Column Layer,"Tidal fresh waters at the surface, at or beyond the 4 meter depth contour.",2012-06,W,l13
Water Column Component,Water Column Layer ,Estuarine Tidal Riverine Open Water Upper Water Column,,,CMECS Water Column Subcomponent: Water Column Layer,"Tidal fresh waters above the pycnocline (or mid-depth), at or beyond the 4 meter depth contour.",2012-06,W,l14
Water Column Component,Water Column Layer ,Estuarine Tidal Riverine Open Water Pycnocline,,,CMECS Water Column Subcomponent: Water Column Layer,"Tidal fresh waters within the pycnocline, at or beyond the 4 meter depth contour.",2012-06,W,l15
Water Column Component,Water Column Layer ,Estuarine Tidal Riverine Open Water Lower Water Column,,,CMECS Water Column Subcomponent: Water Column Layer,"Tidal fresh waters below the pycnocline (or mid-depth), at or beyond the 4 meter depth contour.",2012-06,W,l16
Water Column Component,Water Column Layer ,Marine Nearshore Surface Layer,,,CMECS Water Column Subcomponent: Water Column Layer,"Marine waters at the surface, from the land-water interface up to the 30 meter depth contour.",2012-06,W,l17
Water Column Component,Water Column Layer ,Marine Nearshore Upper Water Column,,,CMECS Water Column Subcomponent: Water Column Layer,"Marine waters above the pycnocline (or mid-depth), from the land-water interface up to the 30 meter depth contour.",2012-06,W,l18
Water Column Component,Water Column Layer ,Marine Nearshore Pycnocline,,,CMECS Water Column Subcomponent: Water Column Layer,"Marine waters within the pycnocline, from the land-water interface up to the 30 meter depth contour.",2012-06,W,l19
Water Column Component,Water Column Layer ,Marine Nearshore Lower Water Column,,,CMECS Water Column Subcomponent: Water Column Layer,"Marine waters below the pycnocline (or mid-depth), from the land-water interface up to the 30 meter depth contour.",2012-06,W,l20
Water Column Component,Water Column Layer ,Marine Offshore Surface Layer,,,CMECS Water Column Subcomponent: Water Column Layer,"Marine waters at the surface, between the 30 meter depth contour and the shelf break.",2012-06,W,None
Water Column Component,Water Column Layer ,Marine Offshore Upper Water Column,,,CMECS Water Column Subcomponent: Water Column Layer,"Marine waters above the pycnocline (or mid-depth), between the 30 meter depth contour and the shelf break.",2012-06,W,None
Water Column Component,Water Column Layer ,Marine Offshore Pycnocline,,,CMECS Water Column Subcomponent: Water Column Layer,"Marine waters within the pycnocline, between the 30 meter depth contour and the shelf break.",2012-06,W,None
Water Column Component,Water Column Layer ,Marine Offshore Lower Water Column,,,CMECS Water Column Subcomponent: Water Column Layer,"Marine waters below the pycnocline (or mid-depth), between the 30 meter depth contour and the shelf break.",2012-06,W,None
Water Column Component,Water Column Layer ,Marine Oceanic Surface Layer,,,CMECS Water Column Subcomponent: Water Column Layer,"The interface between the atmosphere and the water column, extending to a depth of several centimeters. Surface films, floating vegetation, and aggregations of materials or biota accumulate at the surface, which also represents the surface of maximum exchange of atmospheric gases, heat, and light.",2012-06,W,l21
Water Column Component,Water Column Layer ,Marine Oceanic Epipelagic Upper Layer,,,CMECS Water Column Subcomponent: Water Column Layer,"The Epipelagic Layer is the upper 200 meters of the oceanic water column. Within the Epipelagic, the Marine Oceanic Epipelagic Upper Layer is the region between the sea surface and the Epipelagic Pycnocline, if present, or mid-depth in the Epipelagic zone at 100 meters. This layer is generally well-mixed, well-lighted, and highly oxygenated, and supports photosynthesis largely throughout, although weakly in the lower depths. It has no contact with, and very minimal influence from land, and is very clear compared to coastal water masses. It is the zone of maximal productivity in the Oceanic Subsystem.",2012-06,W,l22
Water Column Component,Water Column Layer ,Marine Oceanic Epipelagic Pycnocline,,,CMECS Water Column Subcomponent: Water Column Layer,"Within the Epipelagic Layer, the Marine Oceanic Epipelagic Pycnocline is the zone of maximum vertical change in density of the water normally due to a salinity or temperature gradient, which segregates the water column into two distinct layers that are of relatively homogeneous density. The presence of a pycnocline provides a barrier to mixing between the upper and lower water columns, and this layer enhances the stability of the water column preventing mixing to the bottom.",2012-06,W,l23
Water Column Component,Water Column Layer ,Marine Oceanic Epipelagic Lower Layer,,,CMECS Water Column Subcomponent: Water Column Layer,"Within the Epipelagic Layer, the region below the Epipelagic pycnocline if present (or below mid-depth [100 meters]). Photosynthesis can generally occur through this layer although diminishing with depth to the critical depth for phytoplankton, which represents the point where production and respiration are in balance and no net productivity occurs. The lower bound of the Epipelagic Lower Layer is the bottom of the Epipelagic Layer at 200 meters.",2012-06,W,l24
Water Column Component,Water Column Layer ,Marine Oceanic Mesopelagic Layer,,,CMECS Water Column Subcomponent: Water Column Layer,"The region where light is vertically attenuated to below the level required for photosynthesis, generally between 200 meters and 1,000 meters in depth. Oxygen declines rapidly to a minimum, corresponding with the lower limit of the Mesopelagic Zone- due to high bacterial respiration from settling organic material.",2012-06,W,l25
Water Column Component,Water Column Layer ,Marine Oceanic Bathypelagic Layer,,,CMECS Water Column Subcomponent: Water Column Layer,"The region where light does not penetrate, rendering the water column totally dark except for bioluminescence, generally from 1,000 meters to 4,000 meters depth. Organisms at these depths are subjected to immense pressure; food webs depend on organic detritus rather than active photosynthetic production. Waters in this layer generally are composed of cold, bottom currents (from sinking water masses descending from polar latitudes).",2012-06,W,l26
Water Column Component,Water Column Layer ,Marine Oceanic Abyssopelagic Layer,,,CMECS Water Column Subcomponent: Water Column Layer,"The region of the water column that is generally in contact with the abyssal seafloor, except in deep basins and trenches and represents the bottom layer of the ocean, generally from 4,000 meters to 6,000 meters depth. This layer is aphotic; it receives biogenic, detrital and mineral material descending from above and this layer acts as an accumulation zone. Oozes from tests of planktonic organisms form on the seafloor and fans of sedimentary material accumulate here. There are diverse and specialized faunal communities at these depths. Trophic webs are based on chemoautotrophic processes, hydrothermal vents, decomposition of organic matter and bacterial production.",2012-06,W,l27
Water Column Component,Water Column Layer ,Marine Oceanic Hadalpelagic Layer,,,CMECS Water Column Subcomponent: Water Column Layer,"The deepest waters of the globe occur in trenches and deep basins generally at depths greater than 6,000 meters. There is a high degree of tectonic and thermal activity in these areas. Waters in this layer have unique characteristics of immense pressure, strong currents, accumulation of sediments and organic material; macrofauna that occur at these extreme depths have special feeding strategies and adaptations to intense pressure and total darkness.",2012-06,W,l28
Water Column Component,Salinity Regime,,,,CMECS Water Column Subcomponent,"Salinity in seawater results from a concentration of salts including bromine, iodine, and (principally) sodium chloride. Salinity is measured as a dimensionless conductivity ratio on the practical salinity scale (PSS), which was established by the IAPSO (International Association for the Physical Sciences of the Oceans) in 1978 (UNESCO 1981). Most marine waters have salinities between 34 and 35, while in estuaries and coastal waters salinity can vary considerably from zero to hyperhaline (? 40). In estuaries, the salinity distribution is a function of direct precipitation, the influx of freshwater supplied by rivers, groundwater sources and runoff from the land and marine water supplied by exchange with the ocean as a function of tidal regime. Salinity is an indicator of the dynamic or conservative nature of mixing within the water body, and is one of the defining features of the structure of coastal waters. Most aquatic organisms function optimally within a narrow range of salinities, which has impact on the ecological balance and trophic structure of communities. Salinity categories and ranges for CMECS are provided in Table 5.2.",2012-06,W,s
Water Column Component,Salinity Regime,Oligohaline Water,,,CMECS Water Column Subcomponent: Salinity Regime,Salinity (PSS) < 5,2012-06,W,s1
Water Column Component,Salinity Regime,Mesohaline Water,,,CMECS Water Column Subcomponent: Salinity Regime,Salinity (PSS) 5 to < 18,2012-06,W,s2
Water Column Component,Salinity Regime,Lower Polyhaline Water,,,CMECS Water Column Subcomponent: Salinity Regime,Salinity (PSS) 18 to < 25,2012-06,W,s3
Water Column Component,Salinity Regime,Upper Polyhaline Water,,,CMECS Water Column Subcomponent: Salinity Regime,Salinity (PSS) 25 to < 30,2012-06,W,s4
Water Column Component,Salinity Regime,Euhaline Water,,,CMECS Water Column Subcomponent: Salinity Regime,Salinity (PSS) 30 to < 40,2012-06,W,s5
Water Column Component,Salinity Regime,Hyperhaline Water,,,CMECS Water Column Subcomponent: Salinity Regime,Salinity (PSS) >= 40,2012-06,W,s6
Water Column Component,Temperature Regime,,,,CMECS Water Column Subcomponent,"Temperature is a measure of kinetic energy, and in most cases decreases with depth in the water column. The mean temperature of oceanic seawater, which by volume is principally at depth, is generally low, 0 – 5o C, but higher in the water column temperatures tend to converge toward air temperature at the surface. Marine waters are structured vertically with a mixed surface layer having little gradient in temperature, a thermocline with a highly variable gradient, and underlying waters with little stratification. A thermocline is established between an upper layer of one temperature and a lower layer of another and can be seasonal or permanent depending on the circulation and weather patterns. Pronounced thermoclines occur in the tropics, and essentially none occur in Polar Regions. In estuaries, temperatures are more variable because waters are shallower and under more influence of the temperature of inflowing freshwaters or of tidal marine waters. Temperature has a considerable impact on ecosystem functioning, affecting photosynthesis, growth, metabolism, and mobility of organisms. Rates of microbial processes of decomposition, nitrogen fixation and denitrification generally double with each increase of 10o C. Organisms tolerate a particular temperature range, and the temperature optimum range may span only a few degrees. The solubility of gases and pH are dependent on temperature, and temperature influences the ability of water to hold oxygen or oxic status.
Temperature categories are established in intervals of sufficient range and resolution to provide meaningful ecological differences yet yield a parsimonious number of categories. Temperature categories are based on the British Columbia Marine Ecological Classification for Canada (Howes, Harper, and Owens 1994, Zacharias et al. 1998, Resource Information Standards Committee 2002), modified to add the higher temperature ranges typical of the subtropics and tropics. Categories for water mass temperature are established in Table 5.3.",2012-06,W,t
Water Column Component,Temperature Regime,Frozen/Superchilled Water,,,CMECS Water Column Subcomponent: Temperature Regime,0°C and below,2012-06,W,t1
Water Column Component,Temperature Regime,Very Cold Water,,,CMECS Water Column Subcomponent: Temperature Regime,0°C to < 5°C (liquid),2012-06,W,t2
Water Column Component,Temperature Regime,Cold Water,,,CMECS Water Column Subcomponent: Temperature Regime,5°C to < 10°C,2012-06,W,t3
Water Column Component,Temperature Regime,Cool Water,,,CMECS Water Column Subcomponent: Temperature Regime,10°C to < 15°C,2012-06,W,t4
Water Column Component,Temperature Regime,Moderate Water,,,CMECS Water Column Subcomponent: Temperature Regime,15°C to < 20°C,2012-06,W,t5
Water Column Component,Temperature Regime,Warm Water,,,CMECS Water Column Subcomponent: Temperature Regime,20°C to < 25°C,2012-06,W,t6
Water Column Component,Temperature Regime,Very Warm Water,,,CMECS Water Column Subcomponent: Temperature Regime,25°C to < 30°C,2012-06,W,t7
Water Column Component,Temperature Regime,Hot Water,,,CMECS Water Column Subcomponent: Temperature Regime,30°C to < 35°C,2012-06,W,t8
Water Column Component,Temperature Regime,Very Hot Water,,,CMECS Water Column Subcomponent: Temperature Regime,>= 35°C,2012-06,W,t9
Water Column Component,Hydroform,,,,CMECS Water Column Subcomponent,"Hydroforms are physical entities that have a coherent, definable structure with identifiable boundaries and characteristic physical properties. The Hydroform Subcomponent is a hierarchy of three levels consisting of Hydroform Classes, Hydroforms and Hydroform Types. Hydroforms are ecologically important because they shape their environment by creating gradients, surfaces, barriers, compartments and energy vectors. They strongly influence the distribution and condition of biota and often act as habitat by creating a complex environmental structure, by facilitating and enhancing transport of materials and energy, cycling nutrients, providing refugia, aggregating food resources, and providing migration paths. They influence the transfer of heat, salts, oxygen, carbon dioxide, trace elements, momentum, predicted trajectory, temporal persistence and associated fauna. Hydroforms vary extensively in size, volume, areal extent, persistence, and ecological significance.
In this standard hydroforms are represented conceptually as the average expression of their defining characteristics. The boundaries of the hydroforms are to be determined by methodology, technology limits, user objectives and application and lie along a continuum. Implementation guidance will be developed to assist in determining quantitative cutoffs that define their boundaries.",2012-06,W,h
Water Column Component,Hydroform,Current,,,CMECS Water Column Subcomponent: Hydroform  ,"Water that is undergoing coherent mass movement, either as laminar or turbulent flow, relative to surrounding waters and fixed structural, landform or geologic features. A directional, coherently flowing water mass. Currents operate on a wide range of temporal and spatial scales from huge ocean gyres and major surface and deep-water currents of the ocean operating on annual timescales to tidal currents that operate on sub daily timescales. However, all currents have features in common: the advective movement and transport of water, constituents (such as particulates and dissolved compounds), qualities (such as temperature and salinity) and biota (such as plankton, nekton, and megafauna). Currents are driven by gravity flow, geostrophic flow, density differences, hydraulic differential or energy input. They may be isolated from land and freely flowing in the water column as is the Gulf Stream, or they may be in channelized flow or long-shore flow. Currents that impact land also shape the littoral zone or sea bottom by winnowing sediments, physically mixing or shearing substrates and biota and creating geoforms such as sand ripples and bars.",2012-06,W,h1
Water Column Component,Hydroform,Current,Boundary Current,,CMECS Water Column Subcomponent: Hydroform Type,The portion of an ocean gyre that moves along the continental boundary.,2012-06,W,h1.1
Water Column Component,Hydroform,Current,Boundary Current,Eastern Boundary Current,CMECS Water Column Subcomponent: Hydroform Type,"The eastern portion of the great ocean gyres circulating in the ocean basins against west continental coasts. They may be broad or narrow and meandering; they transport colder water into the tropics. EBCs are typically shallow and slow-flowing compared to the Western boundary currents. EBCs may be associated with upwellings and nutrient rich seas that can support very productive fisheries, such as in the Peruvian Upwelling.",2012-06,W,h1.1.1
Water Column Component,Hydroform,Current,Boundary Current,Western Boundary Current,CMECS Water Column Subcomponent: Hydroform  ,"The western portion of the great ocean gyre circulation, which moves along the eastern coasts of the continents. These currents are deeper (up to 1,000 meters) and faster moving than eastern counterparts. The western intensification, due to Coriolis forces being stronger in the latitudes of the Westerlies that steer Western boundary currents, is responsible for the great speed and intensity of these currents. WBCs transport warmer tropical waters into the cold higher latitudes and have a great effect on both oceanic and terrestrial climate, water temperatures and distribution of biota.",2012-06,W,h1.1.2
Water Column Component,Hydroform,Current,Buoyancy Flow,,CMECS Water Column Subcomponent: Hydroform Type,"Current flow created by discontinuity in buoyancy of two juxtaposed water masses of different density, causing one to flow relative to the other toward buoyancy equilibrium.",2012-06,W,h1.2
Water Column Component,Hydroform,Current,Buoyancy Flow,Downwelling,CMECS Water Column Subcomponent: Hydroform Type,Downwardly-directed current caused by convergence of water masses.,2012-06,W,h1.2.1
Water Column Component,Hydroform,Current,Buoyancy Flow,Upwelling,CMECS Water Column Subcomponent: Hydroform  ,Upwardly-directed current caused by divergence of water masses,2012-06,W,h1.2.2
Water Column Component,Hydroform,Current,Current Meander,,CMECS Water Column Subcomponent: Hydroform  ,"A current that deviates from a straight line flow, which is often the result of incursion by lateral currents or the presence of a physical or density barrier. Meanders can pinch off from the main current flow and form rings.",2012-06,W,h1.3
Water Column Component,Hydroform,Current,Deep Boundary Current,,CMECS Water Column Subcomponent: Hydroform  ,"A current that connects high-latitude ocean waters (where deep water is formed) with upwelling regions. The core depths of these currents are between 1,500 meters and 4,000 meters. Western-located Deep Boundary Currents lie adjacent to continental slopes in all ocean basins.",2012-06,W,h1.4
Water Column Component,Hydroform,Current,Deep Circulation,,CMECS Water Column Subcomponent: Hydroform Type,"The mass circulation of the oceans that carries cold polar surface water to depth, sinking due to higher density and wind forcing. The mass transport also carries salt, oxygen, and other properties. Deep circulation is wind driven, with a tidal mixing component. It cools the surface and evaporates water, which determines where deep convection occurs. Wind-driven turbulence in the deep ocean mixes cold water upward at lower latitudes. Deep circulation has relative slow current movements but transport of water is comparable to surface transport and is responsible for closing the Earth's heat budget and determining climate.",2012-06,W,h1.5
Water Column Component,Hydroform,Current,Deep Circulation,Abyssal Deep Circulation,CMECS Water Column Subcomponent: Hydroform Type,"Deep, slow circulation in the abyssal zone driven by horizontal differences in density of water masses. The vast majority of ocean circulation is of this type, initiating by the sinking of cold water in the high latitudes to the ocean bottom, and spreading throughout the abyssal plains of the ocean basins.",2012-06,W,h1.5.1
Water Column Component,Hydroform,Current,Deep Circulation,Bathyl Deep Circulation,CMECS Water Column Subcomponent: Hydroform  ,"Deep, slow circulation in the bathyl zone driven by horizontal differences in density of water masses. Water sinks down the continental slope and through the bathyl zone as part of thermohaline ocean circulation.",2012-06,W,h1.5.3
Water Column Component,Hydroform,Current,Deep Convection,,CMECS Water Column Subcomponent: Hydroform  ,Large mass flows of water in the deep ocean that form critical parts (and return paths) of the great ocean circulation.,2012-06,W,h1.6
Water Column Component,Hydroform,Current,Density Flow,,CMECS Water Column Subcomponent: Hydroform  ,Flow caused by differential density between two convergent water masses- or by a parcel of denser water flowing along a sloping bottom under a column of less-dense water.,2012-06,W,h1.7
Water Column Component,Hydroform,Current,Ekman Flow,,CMECS Water Column Subcomponent: Hydroform Type,"The flow of water at 90? to the direction of the wind, at steady state, due to Earth's rotational effect.",2012-06,W,h1.8
Water Column Component,Hydroform,Current,Ekman Flow,Ekman Upwelling,CMECS Water Column Subcomponent: Hydroform Type,"Upwardly-directed current resulting from either the divergence of water masses or from movement of surface water away from the coast. At the divergence of two water masses (or the wind-driven movement of water away from a coastline), continuity of mass flow will move water from depth to the surface as replacement. In the nearshore, the circulation will bring the water from the shallow bottom. In deeper waters, the upwelling will carry water from a variety of depths- from near the surface to depths to as great as 500 meters (below the pycnocline). Because the upwelled water is working against gravity, its maximum influence is not as great as downwelled water (which is aided by gravity); however, the upwelling can reach into the mesopelagic zone.",2012-06,W,h1.8.1
Water Column Component,Hydroform,Current,Ekman Flow,Ekman Downwelling,CMECS Water Column Subcomponent: Hydroform  ,"Downwardly-directed current, resulting from either the convergence of water masses or from the convergence of a water mass with a coastline. At this convergence, gravity will force water into a downwelling, which will carry surface water to greater depths. In the nearshore, the circulation will take the water to the shallow bottom and then move seaward. In deeper waters, the downwelling will carry water to a depth determined by energy dissipation and relative density considerations; the maximum downwelling depth can be into the abyssalpelagic zone.",2012-06,W,h1.8.2
Water Column Component,Hydroform,Current,Inertial Current,,CMECS Water Column Subcomponent: Hydroform  ,"Currents that continue motion through inertia. Due to the rotation of the Earth, inertial currents tend to form circular gyres.",2012-06,W,h1.9
Water Column Component,Hydroform,Current,Langmuir Circulation,,CMECS Water Column Subcomponent: Hydroform  ,"Rotational oscillatory motion of surface waters induced by wind and Coriolis deflection. This circulation is caused by the transport of a parcel of water obliquely to the direction of wind transport due to the apparent Coriolis force imparted by the rotation of the earth. In the Northern Hemisphere this vector is to the right of the wind direction, in the Southern Hemisphere, it is to the left. This causes a piling of water in cells lateral to the direction of travel. The piled water sinks to balance forces, and it also circulates to create elongated tubular circulations of water at the surface. Langmuir cells are important to productivity by circulating water through the water column, and form fronts at the junction of two Langmuir cells that are important points of aggregation and feeding of plankton and higher trophic levels (Wetzel 2001).",2012-06,W,h1.10
Water Column Component,Hydroform,Current,Mean Surface Current,,CMECS Water Column Subcomponent: Hydroform Type,The time-averaged steady state ocean surface current pattern responsible for mean oceanic water motions.,2012-06,W,h1.11
Water Column Component,Hydroform,Current,Mean Surface Current,North Equatorial Surface Current,CMECS Water Column Subcomponent: Hydroform Type,"The southern portion of the northern ocean gyres. This current flows westward, is maintained by the trade winds, and entrains some water from southern oceans into the northern oceans. It is accompanied by a weaker easterly-flowing counter current.",2012-06,W,h1.11.1
Water Column Component,Hydroform,Current,Mean Surface Current,South Equatorial Surface Current,CMECS Water Column Subcomponent: Hydroform  ,"The counterpart to the North Equatorial current, also flows east to west, forming the northern limb of the southern ocean gyres.",2012-06,W,h1.11.2
Water Column Component,Hydroform,Current,Mesoscale Eddy,,CMECS Water Column Subcomponent: Hydroform Type,"A rotational feature that (a) breaks off of an ocean gyre or large current (such as the Gulf Stream) and (b) persist autonomously for some period (from days to months) at sizes of 20 kilometers to 500 kilometers. These eddies play an important role in ocean mixing- and in sheltering and acting as nursery waters for biota. The most energetic eddies are at the smaller end of the spatial scale. The larger eddies (called mesoscale eddies) are slower moving, but they persist for many months and are ubiquitous in the global oceans. Mesoscale Eddies are most prevalent in the North Atlantic and North Pacific, but they can occur in all oceans.",2012-06,W,h1.12
Water Column Component,Hydroform,Current,Mesoscale Eddy,Cold Core Ring,CMECS Water Column Subcomponent: Hydroform Type,"An eddy that forms when a boundary current meander pinches off and closes, trapping a parcel of colder water in a surrounding ring of warmer water. The ring measures up to 300 kilometers and extends to 4,000 meters depth or the ocean bottom. The colder water in the core tends to be higher in nutrients and more productive than that in the surrounding ring, so they become islands of biological activity as they move through the ocean. Rings form in all oceans and can persist for months to years.",2012-06,W,h1.12.1
Water Column Component,Hydroform,Current,Mesoscale Eddy,Warm Core Ring,CMECS Water Column Subcomponent: Hydroform  ,"An eddy that form when a boundary current pinches off a parcel of warmer water. The ring measures 100-200 kilometers and extends to 1,500 meters depth. The warm water in the core tends to be less productive than the colder, nutrient rich waters in the ring.",2012-06,W,h1.12.2
Water Column Component,Hydroform,Current,Residual Current,,CMECS Water Column Subcomponent: Hydroform Type,Current movement resulting from asymmetry in tidal flow- notably within a partially enclosed estuary or embayment- that results in characteristic estuarine circulation patterns.,2012-06,W,h1.13
Water Column Component,Hydroform,Current,Residual Current,Fjord Circulation,CMECS Water Column Subcomponent: Hydroform Type,"Circulation in estuaries that possess a sill at the seaward end, inhibiting inflow of seawater into the bottom waters. Seawater flows over the sill mixing into the intermediate water of the estuary, and sinking to the bottom. The estuary receives freshwater input in excess of evaporation and the resulting brackish mixture is exported across the sill into the ocean end-member. The limited exchange of bottom waters can promote hypoxic conditions in some fjord estuaries.",2012-06,W,h1.13.1
